time,SPAM_On_Z_MTQ_X,SPAM_On_Z_MTQ_Y,SPAM_On_Z_MTQ_Z
1584763115,0.0,0.0,0.0
1584763177,0.0,0.0,0.0
1584763234,0.0,0.0,0.0
1584763297,0.0,0.0,0.0
1584763354,0.0,0.0,0.0
1584763417,0.0,0.0,0.0
1584763474,0.0,0.0,0.0
1584763537,0.0,0.0,0.0
1584763594,0.0,0.0,0.0
1584763656,0.0,0.0,0.0
1584763714,0.0,0.0,0.0
1584768937,-3.0,-11.849315068493151,3.410958904109589
1584768994,-3.0,-11.849315068493151,3.410958904109589
1584769057,-3.0,-11.849315068493151,3.410958904109589
1584769114,-3.0,-11.849315068493151,3.410958904109589
1584769176,-3.0,-11.849315068493151,3.410958904109589
1584769234,-3.0,-11.849315068493151,3.410958904109589
1584769296,-3.0,-11.849315068493151,3.410958904109589
1584769354,-3.0,-11.849315068493151,3.410958904109589
1584769536,-3.0,-11.849315068493151,3.410958904109589
1584769594,-3.0,-11.849315068493151,3.410958904109589
1584769714,-3.0,-11.849315068493151,3.410958904109589
1584847425,4.328767123287672,-12.917808219178083,9.794520547945206
1584847482,4.328767123287672,-12.917808219178083,9.794520547945206
1584847545,4.328767123287672,-12.917808219178083,9.794520547945206
1584847602,4.328767123287672,-12.917808219178083,9.794520547945206
1584847665,4.328767123287672,-12.917808219178083,9.794520547945206
1584847722,4.328767123287672,-12.917808219178083,9.794520547945206
1584847785,4.328767123287672,-12.917808219178083,9.794520547945206
1584847842,4.328767123287672,-12.917808219178083,9.794520547945206
1584847904,4.328767123287672,-12.917808219178083,9.794520547945206
1584847962,4.328767123287672,-12.917808219178083,9.794520547945206
1584848024,4.328767123287672,-12.917808219178083,9.794520547945206
1584848082,4.328767123287672,-12.917808219178083,9.794520547945206
1584848144,4.328767123287672,-12.917808219178083,9.794520547945206
1584853365,7.47945205479452,-9.397260273972602,9.602739726027398
1584853423,7.47945205479452,-9.397260273972602,9.602739726027398
1584853485,7.47945205479452,-9.397260273972602,9.602739726027398
1584853543,7.47945205479452,-9.397260273972602,9.602739726027398
1584853605,7.47945205479452,-9.397260273972602,9.602739726027398
1584853663,7.47945205479452,-9.397260273972602,9.602739726027398
1584853725,7.47945205479452,-9.397260273972602,9.602739726027398
1584853782,7.47945205479452,-9.397260273972602,9.602739726027398
1584853845,7.47945205479452,-9.397260273972602,9.602739726027398
1584853902,7.47945205479452,-9.397260273972602,9.602739726027398
1584853965,7.47945205479452,-9.397260273972602,9.602739726027398
1584854022,7.47945205479452,-9.397260273972602,9.602739726027398
1584854085,7.47945205479452,-9.397260273972602,9.602739726027398
1584854142,7.47945205479452,-9.397260273972602,9.602739726027398
1584854204,7.47945205479452,-9.397260273972602,9.602739726027398
1585016324,7.890410958904109,-13.452054794520548,6.493150684931507
1585016382,7.890410958904109,-13.452054794520548,6.493150684931507
1585016444,7.890410958904109,-13.452054794520548,6.493150684931507
1585016502,7.890410958904109,-13.452054794520548,6.493150684931507
1585016564,7.890410958904109,-13.452054794520548,6.493150684931507
1585016622,7.890410958904109,-13.452054794520548,6.493150684931507
1585016684,7.890410958904109,-13.452054794520548,6.493150684931507
1585016746,7.890410958904109,-13.452054794520548,6.493150684931507
1585016804,7.890410958904109,-13.452054794520548,6.493150684931507
1585016866,7.890410958904109,-13.452054794520548,6.493150684931507
1585016924,7.890410958904109,-13.452054794520548,6.493150684931507
1585022142,7.890410958904109,-13.452054794520548,6.493150684931507
1585022279,7.890410958904109,-13.452054794520548,6.493150684931507
1585022284,7.890410958904109,-13.452054794520548,6.493150684931507
1585022308,7.890410958904109,-13.452054794520548,6.493150684931507
1585022313,7.890410958904109,-13.452054794520548,6.493150684931507
1585022322,7.890410958904109,-13.452054794520548,6.493150684931507
1585022370,7.890410958904109,-13.452054794520548,6.493150684931507
1585022380,7.890410958904109,-13.452054794520548,6.493150684931507
1585022505,7.890410958904109,-13.452054794520548,6.493150684931507
1585022625,7.890410958904109,-13.452054794520548,6.493150684931507
1585022682,7.890410958904109,-13.452054794520548,6.493150684931507
1585022802,-3.6164383561643834,-8.726027397260275,6.287671232876712
1585022864,-3.6164383561643834,-8.726027397260275,6.287671232876712
1585022984,-3.6164383561643834,-8.726027397260275,6.287671232876712
1587416114,3.219178082191781,-13.178082191780822,7.342465753424658
1587416177,3.219178082191781,-13.178082191780822,7.342465753424658
1587416234,3.219178082191781,-13.178082191780822,7.342465753424658
1587416296,3.219178082191781,-13.178082191780822,7.342465753424658
1587416354,3.219178082191781,-13.178082191780822,7.342465753424658
1587416416,3.219178082191781,-13.178082191780822,7.342465753424658
1587416474,3.219178082191781,-13.178082191780822,7.342465753424658
1587416536,3.219178082191781,-13.178082191780822,7.342465753424658
1587416594,3.219178082191781,-13.178082191780822,7.342465753424658
1587416656,3.219178082191781,-13.178082191780822,7.342465753424658
1587759794,7.465753424657534,-13.04109589041096,6.260273972602739
1587759856,7.465753424657534,-13.04109589041096,6.260273972602739
1587759914,7.465753424657534,-13.04109589041096,6.260273972602739
1587759976,7.465753424657534,-13.04109589041096,6.260273972602739
1587760033,7.465753424657534,-13.04109589041096,6.260273972602739
1587760096,7.465753424657534,-13.04109589041096,6.260273972602739
1587760153,7.465753424657534,-13.04109589041096,6.260273972602739
1587760216,7.465753424657534,-13.04109589041096,6.260273972602739
1587760273,7.465753424657534,-13.04109589041096,6.260273972602739
1587760336,7.465753424657534,-13.04109589041096,6.260273972602739
