time,IMU_Processed_Y_Max,IMU_Processed_Y_Avg,IMU_Processed_Z_Min,IMU_Processed_Z_Max
1587759798,-2.1568750000000003,-2.1875,-1.8506250000000002,-1.6187500000000001
1587759918,-2.07375,-2.130625,-1.1725,-0.63875
1587759976,-1.990625,-2.1700000000000004,-0.7568750000000001,-0.581875
1587760038,-2.07375,-2.113125,-1.0675000000000001,-0.7306250000000001
1587760096,-2.0693750000000004,-2.10875,-1.225,-1.054375
1587760153,-2.1175,-2.1787500000000004,-1.2337500000000001,-1.12
1587760216,-1.9118750000000002,-2.2225,-1.7018750000000002,-1.21625
1587760278,-1.93375,-2.10875,-2.0562500000000004,-1.6887500000000002
1587760336,-1.6275000000000002,-1.7631250000000003,-2.008125,-1.2600000000000002
