time,Panel_1_Power_Avg,Panel_2_Power_Min,Panel_2_Power_Max,Panel_2_Power_Avg
1581192560,0.0,-0.234375,9.74395751953125,0.0
1581192618,0.0,-0.234375,9.74395751953125,0.0
1581192680,0.0,-0.234375,9.74395751953125,0.0
1581192800,0.0,-0.234375,9.74395751953125,0.0
1581192858,0.0,-0.234375,9.74395751953125,0.0
1581192920,0.0,-0.234375,9.74395751953125,0.0
1581210201,0.0,-0.234375,9.74395751953125,0.0
1581210258,0.0,-0.234375,9.74395751953125,0.0
1581210321,0.0,-0.234375,9.74395751953125,0.0
1581210345,0.0,-0.234375,9.74395751953125,0.0
1581210378,0.0,-0.234375,9.74395751953125,0.0
1581210441,0.0,-0.234375,9.74395751953125,0.0
1581210498,0.0,-0.234375,9.74395751953125,0.0
1581210560,0.0,-0.234375,9.74395751953125,0.0
1581210618,0.0,-0.234375,9.74395751953125,0.0
1581210680,0.0,-0.234375,9.74395751953125,0.0
1581210738,0.0,-0.234375,9.74395751953125,0.0
1581288800,0.0,-0.234375,9.74395751953125,0.0
1581457641,0.0,-0.234375,9.74395751953125,0.0
1581457699,0.0,-0.234375,9.74395751953125,0.0
1581536360,0.0,-0.234375,9.74395751953125,0.0
1581536418,0.0,-0.234375,9.74395751953125,0.0
1581536480,0.0,-0.234375,9.74395751953125,0.0
1581536537,0.0,-0.234375,9.74395751953125,0.0
1581536600,0.0,-0.234375,9.74395751953125,0.0
1581536657,0.0,-0.234375,9.74395751953125,0.0
1581536720,0.0,-0.234375,9.74395751953125,0.0
1581536777,0.0,-0.234375,9.74395751953125,0.0
1581536840,0.0,-0.234375,9.74395751953125,0.0
1581626601,0.0,-0.234375,9.74395751953125,0.0
1581626659,0.0,-0.234375,9.74395751953125,0.0
1581626721,0.0,-0.234375,9.74395751953125,0.0
1581626778,0.0,-0.234375,9.74395751953125,0.0
1581626841,0.0,-0.234375,9.74395751953125,0.0
1581626898,0.0,-0.234375,9.74395751953125,0.0
1581626961,0.0,-0.234375,9.74395751953125,0.0
1581627018,0.0,-0.234375,9.74395751953125,0.0
1581627081,0.0,-0.234375,9.74395751953125,0.0
1581627138,0.0,-0.234375,9.74395751953125,0.0
1581627200,0.0,-0.234375,9.74395751953125,0.0
1581627258,0.0,-0.234375,9.74395751953125,0.0
1581627320,0.0,-0.234375,9.74395751953125,0.0
1581627378,0.0,-0.234375,9.74395751953125,0.0
1581627440,0.0,-0.234375,9.74395751953125,0.0
1581789622,0.0,-0.234375,9.74395751953125,0.0
1581789684,0.0,-0.234375,9.74395751953125,0.0
1581789742,0.0,-0.234375,9.74395751953125,0.0
1581789804,0.0,-0.234375,9.74395751953125,0.0
1581789862,0.0,-0.234375,9.74395751953125,0.0
1581789924,0.0,-0.234375,9.74395751953125,0.0
1581789982,0.0,-0.234375,9.74395751953125,0.0
1581790044,0.0,-0.234375,9.74395751953125,0.0
1581790101,0.0,-0.234375,9.74395751953125,0.0
1581790164,0.0,-0.234375,9.74395751953125,0.0
1581891801,0.0,-0.234375,9.74395751953125,0.0
1581891863,0.0,-0.234375,9.74395751953125,0.0
1581891921,0.0,-0.234375,9.74395751953125,0.0
1581891983,0.0,-0.234375,9.74395751953125,0.0
1581892041,0.0,-0.234375,9.74395751953125,0.0
1581892103,0.0,-0.234375,9.74395751953125,0.0
1581892160,0.0,-0.234375,9.74395751953125,0.0
1581892223,0.0,-0.234375,9.74395751953125,0.0
1581892280,0.0,-0.234375,9.74395751953125,0.0
1581892343,0.0,-0.234375,9.74395751953125,0.0
1581892400,0.0,-0.234375,9.74395751953125,0.0
1581892462,0.0,-0.234375,9.74395751953125,0.0
1582223663,0.0,-0.22430419921875,8.11614990234375,0.0
1582223721,0.0,-0.22430419921875,8.11614990234375,0.0
1582223779,0.0,-0.22430419921875,8.11614990234375,0.0
1582223783,0.0,-0.22430419921875,8.11614990234375,0.0
1582223841,0.0,-0.22430419921875,8.11614990234375,0.0
1582223903,0.0,-0.22430419921875,8.11614990234375,0.0
1582223961,0.0,-0.22430419921875,8.11614990234375,0.0
1582224023,0.0,-0.22430419921875,8.11614990234375,0.0
1582224081,0.0,-0.22430419921875,8.11614990234375,0.0
1582224143,0.0,-0.22430419921875,8.11614990234375,0.0
1582224200,0.0,-0.22430419921875,8.11614990234375,0.0
1582224263,0.0,-0.22430419921875,8.11614990234375,0.0
1582224320,0.0,-0.22430419921875,8.11614990234375,0.0
1582224383,0.0,-0.22430419921875,8.11614990234375,0.0
1582224440,0.0,-0.22430419921875,8.11614990234375,0.0
1582224502,0.0,-0.22430419921875,8.11614990234375,0.0
1582229483,0.0,-0.22430419921875,8.11614990234375,0.0
1582229598,0.0,-0.22430419921875,8.11614990234375,0.0
1582229603,0.0,-0.22430419921875,8.11614990234375,0.0
1582229661,0.0,-0.22430419921875,8.11614990234375,0.0
1582229723,0.0,-0.22430419921875,8.11614990234375,0.0
1582229781,0.0,-0.22430419921875,8.11614990234375,0.0
1582229843,0.0,-0.22430419921875,8.11614990234375,0.0
1582229900,0.0,-0.22430419921875,8.11614990234375,0.0
1582229963,0.0,-0.22430419921875,8.11614990234375,0.0
1582230020,0.0,-0.22430419921875,8.11614990234375,0.0
1582230083,0.0,-0.22430419921875,8.11614990234375,0.0
1582230140,0.0,-0.22430419921875,8.11614990234375,0.0
1582230202,0.0,-0.22430419921875,8.11614990234375,0.0
1582230260,0.0,-0.22430419921875,8.11614990234375,0.0
1582230322,0.0,-0.22430419921875,8.11614990234375,0.0
1582235360,0.0,-0.22430419921875,8.11614990234375,0.0
1582235422,0.0,-0.22430419921875,8.11614990234375,0.0
1582235484,0.0,-0.22430419921875,8.11614990234375,0.0
1582235542,0.0,-0.22430419921875,8.11614990234375,0.0
1582235604,0.0,-0.22430419921875,8.11614990234375,0.0
1582235662,0.0,-0.22430419921875,8.11614990234375,0.0
1582235724,0.0,-0.22430419921875,8.11614990234375,0.0
1582235782,0.0,-0.22430419921875,8.11614990234375,0.0
1582235844,0.0,-0.22430419921875,8.11614990234375,0.0
1582235902,0.0,-0.22430419921875,8.11614990234375,0.0
1582235964,0.0,-0.22430419921875,8.11614990234375,0.0
1582236021,0.0,-0.22430419921875,8.11614990234375,0.0
1582236084,0.0,-0.22430419921875,8.11614990234375,0.0
1582308084,0.0,-0.22430419921875,8.11614990234375,0.0
1582308141,0.0,-0.22430419921875,8.11614990234375,0.0
1582308204,0.0,-0.22430419921875,8.11614990234375,0.0
1582308261,0.0,-0.22430419921875,8.11614990234375,0.0
1582308324,0.0,-0.22430419921875,8.11614990234375,0.0
1582308381,0.0,-0.22430419921875,8.11614990234375,0.0
1582308443,0.0,-0.22430419921875,8.11614990234375,0.0
1582308501,0.0,-0.22430419921875,8.11614990234375,0.0
1582308683,0.0,-0.22430419921875,8.11614990234375,0.0
1582308741,0.0,-0.22430419921875,8.11614990234375,0.0
1582308803,0.0,-0.22430419921875,8.11614990234375,0.0
1582308861,0.0,-0.22430419921875,8.11614990234375,0.0
1582319962,0.0,-0.234375,8.11614990234375,0.0
1582320020,0.0,-0.234375,8.11614990234375,0.0
1582320082,0.0,3.7408447265625,4.40277099609375,0.0
1582320140,0.0,1.732177734375,4.40277099609375,0.0
1582320202,0.0,1.7156982421875,4.40277099609375,0.0
1582320260,0.0,1.7156982421875,4.40277099609375,0.0
1582320322,0.0,1.7156982421875,4.40277099609375,0.0
1582320384,0.0,1.7156982421875,4.40277099609375,0.0
1582320442,0.0,0.84136962890625,4.40277099609375,0.0
1582320504,0.0,0.84136962890625,4.40277099609375,0.0
1582320562,0.0,0.84136962890625,4.40277099609375,0.0
1582488773,0.0,0.0,6.03424072265625,0.0
1582488893,0.0,0.0,9.55810546875,0.0
1582488955,0.0,0.0,9.55810546875,0.0
1582489022,0.0,0.0,9.55810546875,0.0
1582489075,0.0,0.0,9.55810546875,0.0
1582489195,0.0,0.0,9.55810546875,0.0
1582489253,0.0,0.0,9.55810546875,0.0
1582916934,0.0,-0.234375,9.55810546875,0.0
1582916995,0.0,-0.234375,9.55810546875,0.0
1582917053,0.0,-0.234375,9.55810546875,0.0
1582917124,0.0,-0.234375,9.55810546875,0.0
1582917172,0.0,-0.234375,9.55810546875,0.0
1582983836,0.0,-0.234375,9.55810546875,0.0
1582983894,0.0,-0.234375,9.55810546875,0.0
1582983956,0.0,-0.234375,9.55810546875,0.0
1582984014,0.0,-0.234375,9.55810546875,0.0
1582984076,0.0,-0.234375,9.55810546875,0.0
1582984134,0.0,-0.234375,9.55810546875,0.0
1582984196,0.0,-0.234375,9.55810546875,0.0
1582984253,0.0,-0.234375,9.55810546875,0.0
1582984316,0.0,-0.234375,9.55810546875,0.0
1582984373,0.0,-0.234375,9.55810546875,0.0
1582984436,0.0,-0.234375,9.55810546875,0.0
1582984493,0.0,-0.234375,9.55810546875,0.0
1582984556,0.0,-0.234375,9.55810546875,0.0
1582984613,0.0,-0.234375,9.55810546875,0.0
1582989776,0.0,-0.234375,9.55810546875,0.0
1582989833,0.0,-0.234375,9.55810546875,0.0
1582989896,0.0,-0.234375,9.55810546875,0.0
1582989953,0.0,-0.234375,9.55810546875,0.0
1582990016,0.0,-0.234375,9.55810546875,0.0
1582990073,0.0,-0.234375,9.55810546875,0.0
1582990136,0.0,-0.234375,9.55810546875,0.0
