time,IMU_Valid,IMU_X_Min,IMU_X_Max,IMU_X_Avg
1587759794,88,-0.6562500000000001,0.07437500000000001,-0.16625
1587759856,87,0.0,0.46375000000000005,0.17500000000000002
1587759914,88,-0.013125000000000001,0.46375000000000005,0.16187500000000002
1587759976,87,-1.12,0.46375000000000005,-0.18375000000000002
1587760033,88,-0.7087500000000001,-0.35000000000000003,-0.5381250000000001
1587760096,87,-0.77875,0.39375000000000004,-0.7043750000000001
1587760153,88,-0.77875,0.5381250000000001,-0.6518750000000001
1587760216,88,-0.5993750000000001,0.6518750000000001,-0.371875
1587760273,87,-0.20125,0.46375000000000005,0.10500000000000001
1587760336,88,0.29750000000000004,0.46375000000000005,0.389375
