time,Mag2_Z_Avg,Sun_Alpha_Min,Sun_Alpha_Max,Sun_Alpha_Avg
1587759794,-5.4520547945205475,-25.494552446058535,-7.9873043000579855,-18.333079012421035
1587759856,-4.602739726027397,-7.948850978118228,27.96472060304575,2.1314127018036437
1587759914,-2.356164383561644,0.0,31.86498611407819,6.7329935605945
1587759976,-0.3424657534246575,-14.736777855769525,0.565813165684988,-7.780388805810724
1587760033,-0.3698630136986301,-17.461470381786555,-14.760582293160802,-16.774803918576616
1587760096,-2.8904109589041096,-17.108066042054507,-15.051728873561816,-15.683462019714957
1587760153,-6.0,-31.117893002105777,-17.115390484328746,-23.736686300241097
1587760216,-7.041095890410959,-35.580309457686084,0.0,-33.50199896237068
1587760273,-5.767123287671233,-29.22818689535203,19.038056581316567,-8.322397534104434
1587760336,-3.3972602739726026,0.8313241981261635,60.0,44.0858180486465
