time,COM2_State,COM2_Current_Min,COM2_Current_Max,COM2_Current_Avg
1581192560,Off_Initial,-15.5,1.232421875,-0.00244140625
1581192618,Off_Initial,-15.5,1.232421875,-0.00244140625
1581192680,Off_Initial,-15.5,1.232421875,-0.00244140625
1581192800,Off_Initial,-15.5,1.232421875,-0.00244140625
1581192858,Off_Initial,-15.5,1.232421875,-0.00244140625
1581192920,Off_Initial,-15.5,1.232421875,-0.00244140625
1581210201,Off_Initial,-15.5,1.232421875,-0.00244140625
1581210258,Off_Initial,-15.5,1.232421875,-0.00244140625
1581210321,Off_Initial,-15.5,1.232421875,-0.00244140625
1581210345,Off_Initial,-15.5,1.232421875,-0.00244140625
1581210378,Off_Initial,-15.5,1.232421875,-0.00244140625
1581210441,Off_Initial,-15.5,1.232421875,-0.00244140625
1581210498,Off_Initial,-15.5,1.232421875,-0.00244140625
1581210560,Off_Initial,-15.5,1.232421875,-0.00244140625
1581210618,Off_Initial,-15.5,1.232421875,-0.00244140625
1581210680,Off_Initial,-15.5,1.232421875,-0.00244140625
1581210738,Off_Initial,-15.5,1.232421875,-0.00244140625
1581288800,Off_Initial,-15.5,1.24609375,-0.00244140625
1581457641,Off_Initial,-15.5,1.24609375,-0.00244140625
1581457699,Off_Initial,-15.5,1.24609375,-0.00244140625
1581536360,Off_Initial,-15.5,15.498046875,-0.00244140625
1581536418,Off_Initial,-15.5,15.498046875,-0.00244140625
1581536480,Off_Initial,-15.5,15.498046875,-0.00244140625
1581536537,Off_Initial,-15.5,15.498046875,-0.00244140625
1581536600,Off_Initial,-15.5,15.498046875,-0.00244140625
1581536657,Off_Initial,-15.5,15.498046875,-0.00244140625
1581536720,Off_Initial,-15.5,15.498046875,-0.00244140625
1581536777,Off_Initial,-15.5,15.498046875,-0.00244140625
1581536840,Off_Initial,-15.5,15.498046875,-0.00244140625
1581626601,Off_Initial,-15.5,15.498046875,-0.00244140625
1581626659,Off_Initial,-15.5,15.498046875,-0.00244140625
1581626721,Off_Initial,-15.5,15.498046875,-0.00244140625
1581626778,Off_Initial,-15.5,15.498046875,-0.00244140625
1581626841,Off_Initial,-15.5,15.498046875,-0.00244140625
1581626898,Off_Initial,-15.5,15.498046875,-0.00244140625
1581626961,Off_Initial,-15.5,15.498046875,-0.00244140625
1581627018,Off_Initial,-15.5,15.498046875,-0.00244140625
1581627081,Off_Initial,-15.5,15.498046875,-0.00244140625
1581627138,Off_Initial,-15.5,15.498046875,-0.00244140625
1581627200,Off_Initial,-15.5,15.498046875,-0.00244140625
1581627258,Off_Initial,-15.5,15.498046875,-0.00244140625
1581627320,Off_Initial,-15.5,15.498046875,-0.00244140625
1581627378,Off_Initial,-15.5,15.498046875,-0.00244140625
