time,Panel_1_Temperature_Max,Panel_1_Temperature_Avg,Panel_2_Temperature_Min,Panel_2_Temperature_Max,Panel_2_Temperature_Avg,Panel_3_Temperature_Min,Panel_3_Temperature_Max,Panel_3_Temperature_Avg
1582488893,27,11,-19,47,14,-13,50,2
1582488955,27,10,-19,47,16,-13,50,3
1582489022,27,9,-19,47,22,-13,50,9
1582489075,27,6,-19,47,23,-13,50,10
1582489195,27,3,-19,47,29,-13,50,12
1582489253,27,2,-19,47,29,-13,50,12
1582916934,71,4,-29,58,-15,-23,68,-4
1582916995,71,2,-29,58,-12,-23,68,3
1582917053,71,1,-29,58,-9,-23,68,8
1582917124,71,-2,-29,58,0,-23,68,11
1582917172,71,-3,-29,58,3,-23,68,10
1582983836,71,-7,-29,58,-23,-23,68,-15
1582983894,71,-2,-29,58,-22,-23,68,-16
1582983956,71,4,-29,58,-21,-23,68,-16
1582984014,71,9,-29,58,-22,-23,68,-16
1582984076,71,13,-29,58,-22,-23,68,-17
1582984134,71,17,-29,58,-22,-23,68,-17
1582984196,71,20,-29,58,-22,-23,68,-18
1582984253,71,21,-29,58,-22,-23,68,-18
1582984316,71,20,-29,58,-23,-23,68,-18
1582984373,71,18,-29,58,-23,-23,68,-18
1582984436,71,15,-29,58,-24,-23,68,-17
1582984493,71,13,-29,58,-23,-23,68,-15
1582984556,71,10,-29,58,-20,-23,68,-12
1582984613,71,8,-29,58,-17,-23,68,-6
1582989776,71,8,-29,58,-18,-23,68,-18
1582989833,71,13,-29,58,-18,-23,68,-19
1582989896,71,16,-29,58,-19,-23,68,-19
1582989953,71,17,-29,58,-19,-23,68,-19
1582990016,71,16,-29,58,-20,-23,68,-20
1582990073,71,14,-29,58,-20,-23,68,-19
1582990136,71,12,-29,58,-19,-23,68,-17
1582990193,71,9,-29,58,-15,-23,68,-14
1582990255,71,8,-29,58,-12,-23,68,-7
1582990313,71,6,-29,58,-10,-23,68,-2
1582990375,71,4,-29,58,-4,-23,68,1
1582990433,71,2,-29,58,1,-23,68,3
1582990495,71,1,-29,58,6,-23,68,5
1582995475,71,-11,-29,58,-13,-23,68,4
1582995533,71,-5,-29,58,-11,-23,68,3
1582995595,71,0,-29,58,-7,-23,68,1
1582995652,71,6,-29,58,-5,-23,68,-1
1582995715,71,11,-29,58,-5,-23,68,-2
1582995772,71,15,-29,58,-5,-23,68,-4
1582995835,71,17,-29,58,-6,-23,68,-5
1582995892,71,16,-29,58,-6,-23,68,-6
1582995954,71,14,-29,58,-6,-23,68,-7
1582996012,71,12,-29,58,-3,-23,68,-7
1582996074,71,11,-29,58,0,-23,68,-4
1582996132,71,10,-29,58,4,-23,68,0
1582996194,71,8,-29,58,9,-23,68,2
1582996252,71,7,-29,58,13,-23,68,2
1582996314,71,5,-29,58,18,-23,68,3
1583074016,71,-7,-29,58,-22,-23,68,-16
1583074073,71,-1,-29,58,-22,-23,68,-17
1583074136,71,5,-29,58,-23,-23,68,-18
1583074193,71,10,-29,58,-23,-23,68,-17
1583074256,71,15,-29,58,-23,-23,68,-17
1583074313,71,18,-29,58,-19,-23,68,-18
1583074375,71,20,-29,58,-13,-23,68,-18
1583074433,71,23,-29,58,-8,-23,68,-18
1583074495,71,25,-29,58,-6,-23,68,-18
1583074553,71,27,-29,58,-3,-23,68,-17
1583074615,71,27,-29,58,0,-23,68,-17
1583074673,71,27,-29,58,4,-23,68,-17
1583074735,71,29,-29,58,7,-23,68,-16
1583074793,71,29,-29,58,12,-23,68,-16
1583074855,71,27,-29,58,17,-23,68,-15
1583080016,71,3,-29,58,-26,-23,68,-19
1583080073,71,4,-29,58,-26,-23,68,-19
1583080136,71,4,-29,58,-26,-23,68,-20
1583080193,71,3,-29,58,-26,-23,68,-20
1583080256,71,2,-29,58,-25,-23,68,-19
1583080313,71,2,-29,58,-24,-23,68,-18
1583080375,71,2,-29,58,-24,-23,68,-17
1583080433,71,1,-29,58,-24,-23,68,-16
1583080495,71,0,-29,58,-24,-23,68,-15
1583080553,71,-1,-29,58,-22,-23,68,-14
1583080615,71,-1,-29,58,-21,-23,68,-10
1583080673,71,-1,-29,58,-19,-23,68,-5
1583080735,71,-1,-29,58,-13,-23,68,-3
1583248914,71,-17,-30,58,-17,-23,68,7
1583248972,71,-17,-30,58,-16,-23,68,11
1583249034,71,-17,-30,58,-17,-23,68,14
1583249096,71,-17,-30,58,-14,-23,68,15
1583249154,71,-14,-30,58,-8,-23,68,14
1583249216,71,-11,-30,58,-3,-23,68,12
1583249274,71,-10,-30,58,3,-23,68,11
1583249336,71,-8,-30,58,8,-23,68,10
1583249394,71,-3,-30,58,9,-23,68,9
1583254734,71,-17,-30,58,-10,-23,68,17
1583254854,71,-17,-30,58,-4,-23,68,22
1583254916,71,-15,-30,58,-5,-23,68,23
1583254974,71,-14,-30,58,-6,-23,68,23
1583255036,71,-14,-30,58,-8,-23,68,22
1583255094,71,-14,-30,58,-9,-23,68,20
1583255156,71,-13,-30,58,-10,-23,68,18
1583255213,71,-11,-30,58,-10,-23,68,17
1583508233,71,-12,-30,58,-25,-23,68,11
1583508295,71,-12,-30,58,-26,-23,68,11
1583508352,71,-12,-30,58,-26,-23,68,13
1583508415,71,-12,-30,58,-26,-23,68,15
1583508472,71,-12,-30,58,-26,-23,68,16
1583508535,71,-11,-30,58,-26,-23,68,17
1583508592,71,-10,-30,58,-26,-23,68,18
1583569013,71,-2,-30,58,-15,-23,68,-15
1583569075,71,-3,-30,58,-16,-23,68,-15
1583569133,71,-4,-30,58,-17,-23,68,-16
1583569195,71,-5,-30,58,-18,-23,68,-16
1583569253,71,-6,-30,58,-19,-23,68,-16
1583569315,71,-7,-30,58,-20,-23,68,-17
1583569373,71,-8,-30,58,-21,-23,68,-17
1583569435,71,-9,-30,58,-22,-23,68,-17
1583569492,71,-11,-30,58,-23,-23,68,-17
1583569555,71,-11,-30,58,-24,-23,68,-17
1583997056,71,-5,-30,58,-6,-23,68,-3
1583997114,71,-6,-30,58,-7,-23,68,-4
1583997176,71,-7,-30,58,-9,-23,68,-5
1583997233,71,-7,-30,58,-10,-23,68,-5
1583997296,71,-8,-30,58,-11,-23,68,-6
1583997353,71,-9,-30,58,-12,-23,68,-7
1583997416,71,-9,-30,58,-13,-23,68,-8
1583997473,71,-10,-30,58,-15,-23,68,-9
1583997536,71,-11,-30,58,-16,-23,68,-9
1583997593,71,-11,-30,58,-17,-23,68,-10
