time,SPAM_On_X_MTQ_X,SPAM_On_X_MTQ_Y,SPAM_On_X_MTQ_Z,SPAM_On_Y_MTQ_X
1584763115,0.0,0.0,0.0,0.0
1584763177,0.0,0.0,0.0,0.0
1584763234,0.0,0.0,0.0,0.0
1584763297,0.0,0.0,0.0,0.0
1584763354,0.0,0.0,0.0,0.0
1584763417,0.0,0.0,0.0,0.0
1584763474,0.0,0.0,0.0,0.0
1584763537,0.0,0.0,0.0,0.0
1584763594,0.0,0.0,0.0,0.0
1584763656,0.0,0.0,0.0,0.0
1584763714,0.0,0.0,0.0,0.0
1584768937,-3.0136986301369864,-12.561643835616438,5.082191780821918,5.36986301369863
1584768994,-3.0136986301369864,-12.561643835616438,5.082191780821918,5.36986301369863
1584769057,-3.0136986301369864,-12.561643835616438,5.082191780821918,5.36986301369863
1584769114,-3.0136986301369864,-12.561643835616438,5.082191780821918,5.36986301369863
1584769176,-3.0136986301369864,-12.561643835616438,5.082191780821918,5.36986301369863
1584769234,-3.0136986301369864,-12.561643835616438,5.082191780821918,5.36986301369863
1584769296,-3.0136986301369864,-12.561643835616438,5.082191780821918,5.36986301369863
1584769354,-3.0136986301369864,-12.561643835616438,5.082191780821918,5.36986301369863
1584769536,-3.0136986301369864,-12.561643835616438,5.082191780821918,5.36986301369863
1584769594,-3.0136986301369864,-12.561643835616438,5.082191780821918,5.36986301369863
1584769714,-3.0136986301369864,-12.561643835616438,5.082191780821918,5.36986301369863
1584847425,4.575342465753424,-5.5479452054794525,3.1232876712328768,-3.287671232876712
1584847482,4.575342465753424,-5.5479452054794525,3.1232876712328768,-3.287671232876712
1584847545,4.575342465753424,-5.5479452054794525,3.1232876712328768,-3.287671232876712
1584847602,4.575342465753424,-5.5479452054794525,3.1232876712328768,-3.287671232876712
1584847665,4.575342465753424,-5.5479452054794525,3.1232876712328768,-3.287671232876712
1584847722,4.575342465753424,-5.5479452054794525,3.1232876712328768,-3.287671232876712
1584847785,4.575342465753424,-5.5479452054794525,3.1232876712328768,-3.287671232876712
1584847842,4.575342465753424,-5.5479452054794525,3.1232876712328768,-3.287671232876712
1584847904,4.575342465753424,-5.5479452054794525,3.1232876712328768,-3.287671232876712
1584847962,4.575342465753424,-5.5479452054794525,3.1232876712328768,-3.287671232876712
1584848024,4.575342465753424,-5.5479452054794525,3.1232876712328768,-3.287671232876712
1584848082,4.575342465753424,-5.5479452054794525,3.1232876712328768,-3.287671232876712
1584848144,4.575342465753424,-5.5479452054794525,3.1232876712328768,-3.287671232876712
1584853365,-0.6027397260273972,-7.123287671232877,9.26027397260274,3.3698630136986303
1584853423,-0.6027397260273972,-7.123287671232877,9.26027397260274,3.3698630136986303
1584853485,-0.6027397260273972,-7.123287671232877,9.26027397260274,3.3698630136986303
1584853543,-0.6027397260273972,-7.123287671232877,9.26027397260274,3.3698630136986303
1584853605,-0.6027397260273972,-7.123287671232877,9.26027397260274,3.3698630136986303
1584853663,-0.6027397260273972,-7.123287671232877,9.26027397260274,3.3698630136986303
1584853725,-0.6027397260273972,-7.123287671232877,9.26027397260274,3.3698630136986303
1584853782,-0.6027397260273972,-7.123287671232877,9.26027397260274,3.3698630136986303
1584853845,-0.6027397260273972,-7.123287671232877,9.26027397260274,3.3698630136986303
1584853902,-0.6027397260273972,-7.123287671232877,9.26027397260274,3.3698630136986303
1584853965,-0.6027397260273972,-7.123287671232877,9.26027397260274,3.3698630136986303
1584854022,-0.6027397260273972,-7.123287671232877,9.26027397260274,3.3698630136986303
1584854085,-1.356164383561644,-11.808219178082192,8.246575342465754,3.3698630136986303
1584854142,-1.356164383561644,-11.808219178082192,8.246575342465754,3.3698630136986303
1584854204,-1.356164383561644,-11.808219178082192,8.246575342465754,6.410958904109589
1585016324,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585016382,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585016444,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585016502,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585016564,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585016622,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585016684,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585016746,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585016804,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585016866,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585016924,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585022142,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585022279,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585022284,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585022308,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585022313,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585022322,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585022370,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585022380,1.5753424657534247,-8.136986301369863,-2.1780821917808217,-1.6849315068493151
1585022505,4.178082191780822,-10.904109589041095,3.589041095890411,-1.6849315068493151
1585022625,4.178082191780822,-10.904109589041095,3.589041095890411,2.958904109589041
1585022682,4.178082191780822,-10.904109589041095,3.589041095890411,2.958904109589041
1585022802,4.178082191780822,-10.904109589041095,3.589041095890411,2.958904109589041
1585022864,4.178082191780822,-10.904109589041095,3.589041095890411,2.958904109589041
1585022984,4.178082191780822,-10.904109589041095,3.589041095890411,2.958904109589041
1587416114,6.287671232876712,-9.73972602739726,8.657534246575343,1.1369863013698631
1587416177,6.287671232876712,-9.73972602739726,8.657534246575343,1.1369863013698631
1587416234,6.287671232876712,-9.73972602739726,8.657534246575343,1.1369863013698631
1587416296,6.287671232876712,-9.73972602739726,8.657534246575343,1.1369863013698631
1587416354,6.287671232876712,-9.73972602739726,8.657534246575343,1.1369863013698631
1587416416,6.287671232876712,-9.73972602739726,8.657534246575343,1.1369863013698631
1587416474,6.287671232876712,-9.73972602739726,8.657534246575343,1.1369863013698631
1587416536,6.287671232876712,-9.73972602739726,8.657534246575343,1.1369863013698631
1587416594,6.287671232876712,-9.73972602739726,8.657534246575343,1.1369863013698631
1587416656,6.287671232876712,-9.73972602739726,8.657534246575343,1.1369863013698631
1587759794,1.9863013698630136,-8.917808219178083,1.6575342465753424,-1.8356164383561644
1587759856,1.9863013698630136,-8.917808219178083,1.6575342465753424,-1.8356164383561644
1587759914,1.9863013698630136,-8.917808219178083,1.6575342465753424,-1.8356164383561644
1587759976,1.9863013698630136,-8.917808219178083,1.6575342465753424,-1.8356164383561644
1587760033,1.9863013698630136,-8.917808219178083,1.6575342465753424,-1.8356164383561644
1587760096,1.9863013698630136,-8.917808219178083,1.6575342465753424,-1.8356164383561644
1587760153,1.9863013698630136,-8.917808219178083,1.6575342465753424,-1.8356164383561644
1587760216,1.9863013698630136,-8.917808219178083,1.6575342465753424,-1.8356164383561644
1587760273,1.9863013698630136,-8.917808219178083,1.6575342465753424,-1.8356164383561644
1587760336,1.9863013698630136,-8.917808219178083,1.6575342465753424,-1.8356164383561644
