time,EPS_State,EPS_Current_Min,EPS_Current_Max,EPS_Current_Avg
1581192560,On,-5.25,0.07666015625,0.02197265625
1581192618,On,-5.25,0.07666015625,0.02197265625
1581192680,On,-5.25,0.07666015625,0.02197265625
1581192800,On,-5.25,0.07666015625,0.02197265625
1581192858,On,-5.25,0.07666015625,0.02197265625
1581192920,On,-5.25,0.07666015625,0.02197265625
1581210201,On,-5.25,0.07666015625,0.02197265625
1581210258,On,-5.25,0.07666015625,0.02197265625
1581210321,On,-5.25,0.07666015625,0.02197265625
1581210345,On,-5.25,0.07666015625,0.02197265625
1581210378,On,-5.25,0.07666015625,0.0224609375
1581210441,On,-5.25,0.07666015625,0.02197265625
1581210498,On,-5.25,0.07666015625,0.02197265625
1581210560,On,-5.25,0.07666015625,0.02197265625
1581210618,On,-5.25,0.07666015625,0.02197265625
1581210680,On,-5.25,0.07666015625,0.02197265625
1581210738,On,-5.25,0.07666015625,0.02197265625
1581288800,On,-5.25,0.07666015625,0.02197265625
1581457641,On,-5.25,0.07666015625,0.02197265625
1581457699,On,-5.25,0.07666015625,0.02197265625
1581536360,On,-5.25,0.07666015625,0.02197265625
1581536418,On,-5.25,0.07666015625,0.02197265625
1581536480,On,-5.25,0.07666015625,0.0224609375
1581536537,On,-5.25,0.07666015625,0.0224609375
1581536600,On,-5.25,0.07666015625,0.02197265625
1581536657,On,-5.25,0.07666015625,0.02197265625
1581536720,On,-5.25,0.07666015625,0.02197265625
1581536777,On,-5.25,0.07666015625,0.02197265625
1581536840,On,-5.25,0.07666015625,0.02197265625
1581626601,On,-5.25,0.07666015625,0.02197265625
1581626659,On,-5.25,0.07666015625,0.021484375
1581626721,On,-5.25,0.07666015625,0.02197265625
1581626778,On,-5.25,0.07666015625,0.02197265625
1581626841,On,-5.25,0.07666015625,0.0224609375
1581626898,On,-5.25,0.07666015625,0.02197265625
1581626961,On,-5.25,0.07666015625,0.02197265625
1581627018,On,-5.25,0.07666015625,0.02197265625
1581627081,On,-5.25,0.07666015625,0.021484375
1581627138,On,-5.25,0.07666015625,0.02197265625
1581627200,On,-5.25,0.07666015625,0.02197265625
1581627258,On,-5.25,0.07666015625,0.02197265625
1581627320,On,-5.25,0.07666015625,0.02197265625
1581627378,On,-5.25,0.07666015625,0.02197265625
1581627440,On,-5.25,0.07666015625,0.0224609375
1581789622,On,-5.25,0.07666015625,0.02197265625
1581789684,On,-5.25,0.07666015625,0.02197265625
1581789742,On,-5.25,0.07666015625,0.021484375
1581789804,On,-5.25,0.07666015625,0.02197265625
1581789862,On,-5.25,0.07666015625,0.02197265625
1581789924,On,-5.25,0.07666015625,0.02197265625
1581789982,On,-5.25,0.07666015625,0.02197265625
1581790044,On,-5.25,0.07666015625,0.02197265625
1581790101,On,-5.25,0.07666015625,0.02197265625
1581790164,On,-5.25,0.07666015625,0.02197265625
1581891801,On,-5.25,0.07666015625,0.021484375
1581891863,On,-5.25,0.07666015625,0.02197265625
1581891921,On,-5.25,0.07666015625,0.02197265625
1581891983,On,-5.25,0.07666015625,0.02197265625
1581892041,On,-5.25,0.07666015625,0.02197265625
1581892103,On,-5.25,0.07666015625,0.02197265625
1581892160,On,-5.25,0.07666015625,0.021484375
1581892223,On,-5.25,0.07666015625,0.021484375
1581892280,On,-5.25,0.07666015625,0.02197265625
1581892343,On,-5.25,0.07666015625,0.0224609375
1581892400,On,-5.25,0.07666015625,0.0224609375
1581892462,On,-5.25,0.07666015625,0.02197265625
1582223663,On,-5.25,0.0751953125,0.02197265625
1582223721,On,-5.25,0.0751953125,0.02197265625
