time,SPAM_Off_X_MTQ_Z,SPAM_Off_Y_MTQ_X,SPAM_Off_Y_MTQ_Y,SPAM_Off_Y_MTQ_Z
1584763119,0.0,0.0,0.0,0.0
1584763182,0.0,0.0,0.0,0.0
1584763239,0.0,0.0,0.0,0.0
1584763479,0.0,0.0,0.0,0.0
1584763541,0.0,0.0,0.0,0.0
1584763599,0.0,0.0,0.0,0.0
1584763661,0.0,0.0,0.0,0.0
1584763719,0.0,0.0,0.0,0.0
1584763852,0.0,0.0,0.0,0.0
1584763909,0.0,0.0,0.0,0.0
1584767030,2.3698630136986303,6.4520547945205475,-6.465753424657534,0.0
1584767087,2.3698630136986303,6.4520547945205475,-6.465753424657534,-1.8356164383561644
1584767159,2.3698630136986303,6.4520547945205475,-6.465753424657534,-1.8356164383561644
1584767217,2.3698630136986303,6.4520547945205475,-6.465753424657534,-1.8356164383561644
1584767289,2.3698630136986303,6.4520547945205475,-6.465753424657534,-1.8356164383561644
1584767332,2.3698630136986303,6.4520547945205475,-6.465753424657534,-1.8356164383561644
1584768942,2.3698630136986303,6.4520547945205475,-6.465753424657534,-1.8356164383561644
1584768999,2.3698630136986303,6.4520547945205475,-6.465753424657534,-1.8356164383561644
1584769061,2.3698630136986303,6.4520547945205475,-6.465753424657534,-1.8356164383561644
1584769119,2.3698630136986303,6.4520547945205475,-6.465753424657534,-1.8356164383561644
1584769244,2.3698630136986303,6.4520547945205475,-6.465753424657534,-1.8356164383561644
1584769301,2.3698630136986303,6.4520547945205475,-6.465753424657534,-1.8356164383561644
1584769359,2.3698630136986303,6.4520547945205475,-6.465753424657534,-1.8356164383561644
1584769421,2.3698630136986303,6.4520547945205475,-6.465753424657534,-1.8356164383561644
1584769541,2.3698630136986303,6.4520547945205475,-6.465753424657534,-1.8356164383561644
1584769666,2.3698630136986303,6.4520547945205475,-6.465753424657534,-1.8356164383561644
1584769798,2.3698630136986303,6.4520547945205475,-6.465753424657534,-1.8356164383561644
1584769856,2.3698630136986303,6.4520547945205475,-6.465753424657534,-1.8356164383561644
1584769913,2.3698630136986303,6.4520547945205475,-6.465753424657534,-1.8356164383561644
1584772790,6.904109589041096,-1.3013698630136987,-6.739726027397261,-0.1232876712328767
1584772977,6.904109589041096,-1.3013698630136987,-6.739726027397261,-0.1232876712328767
1584774717,6.904109589041096,-1.3013698630136987,-6.739726027397261,-0.1232876712328767
1584774774,6.904109589041096,-1.3013698630136987,-6.739726027397261,-0.1232876712328767
1584774832,6.904109589041096,-1.3013698630136987,-6.739726027397261,-0.1232876712328767
1584774889,6.904109589041096,-1.3013698630136987,-6.739726027397261,-0.1232876712328767
1584774961,6.904109589041096,-1.3013698630136987,-6.739726027397261,-0.1232876712328767
1584775019,6.904109589041096,-1.3013698630136987,-6.739726027397261,-0.1232876712328767
1584775076,6.904109589041096,-1.3013698630136987,-6.739726027397261,-0.1232876712328767
1584775134,-1.9589041095890412,-1.3013698630136987,-6.739726027397261,-0.1232876712328767
1584775191,-1.9589041095890412,-1.3013698630136987,-6.739726027397261,-0.1232876712328767
1584775249,-1.9589041095890412,-5.657534246575342,-8.287671232876713,-0.1232876712328767
1584775321,-1.9589041095890412,-5.657534246575342,-8.287671232876713,-0.1232876712328767
1584775378,-1.9589041095890412,-5.657534246575342,-8.287671232876713,5.178082191780822
1584775436,-1.9589041095890412,-5.657534246575342,-8.287671232876713,5.178082191780822
1584775493,-1.9589041095890412,-5.657534246575342,-8.287671232876713,5.178082191780822
1584775551,-1.9589041095890412,-5.657534246575342,-8.287671232876713,5.178082191780822
1584775608,-1.9589041095890412,-5.657534246575342,-8.287671232876713,5.178082191780822
1584775738,-1.9589041095890412,-5.657534246575342,-8.287671232876713,5.178082191780822
1584779578,-1.5753424657534247,0.9315068493150684,-6.863013698630137,2.6301369863013697
1584779635,-1.5753424657534247,0.9315068493150684,-6.863013698630137,2.6301369863013697
1584779750,-1.5753424657534247,0.9315068493150684,-6.863013698630137,2.6301369863013697
1584779808,-1.5753424657534247,0.9315068493150684,-6.863013698630137,2.6301369863013697
1584779880,-1.5753424657534247,0.9315068493150684,-6.863013698630137,2.6301369863013697
1584780541,-1.5753424657534247,0.9315068493150684,-6.863013698630137,2.6301369863013697
1584780599,-1.5753424657534247,0.9315068493150684,-6.863013698630137,2.6301369863013697
1584780656,-1.5753424657534247,0.9315068493150684,-6.863013698630137,2.6301369863013697
1584780714,-1.5753424657534247,0.9315068493150684,-6.863013698630137,2.6301369863013697
1584780771,-1.5753424657534247,0.9315068493150684,-6.863013698630137,2.6301369863013697
