time,SPAM_Off_Time,SPAM_On_Time,SPAM_Control,Max_Tumble_Time,Current_State,POP_Status_X,POP_Status_Y,POP_Status_Z,Gain_Override_Status_X,Gain_Override_Status_Y,Gain_Override_Status_Z,Mag_Control
1585022279,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1585022284,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1585022308,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1585022313,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1585022322,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1585022370,60,6,SPAM_Enabled,20,Spam_Mag_Self_Test,False,False,False,False,False,False,SP1_Mode
1585022380,60,6,SPAM_Enabled,20,Spam_Mag_Self_Test,False,False,False,False,False,False,SP1_Mode
1585022505,60,6,SPAM_Enabled,20,Spam_Mag_Self_Test,False,False,False,False,False,False,SP1_Mode
1585022625,60,6,SPAM_Enabled,20,Spam_Mag_Self_Test,False,False,False,False,False,False,SP1_Mode
1585022682,60,6,SPAM_Enabled,20,Spam_Mag_Self_Test,False,False,False,False,False,False,SP1_Mode
1585022802,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1585022864,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1585022984,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587416114,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587416177,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587416234,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587416296,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587416354,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587416416,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587416474,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587416536,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587416594,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587416656,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587759794,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587759856,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587759914,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587759976,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587760033,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587760096,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587760153,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587760216,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587760273,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
1587760336,60,6,SPAM_Enabled,20,Normal_Mode,False,False,False,False,False,False,SP1_Mode
