time,Mag1_X_Max,Mag1_X_Avg,Mag1_Y_Min,Mag1_Y_Max
1587759794,2.0684931506849313,0.7534246575342466,-8.397260273972602,-8.191780821917808
1587759856,3.4246575342465753,2.958904109589041,-8.808219178082192,-8.397260273972602
1587759914,3.410958904109589,2.780821917808219,-9.32876712328767,-8.808219178082192
1587759976,1.6712328767123288,0.4657534246575342,-9.287671232876713,-8.835616438356164
1587760033,-0.0136986301369863,-0.3835616438356164,-8.945205479452055,-8.794520547945206
1587760096,0.9863013698630136,0.589041095890411,-8.95890410958904,-8.219178082191782
1587760153,1.0,0.684931506849315,-8.232876712328768,-6.0
1587760216,0.0821917808219178,-0.6438356164383562,-6.0,-5.191780821917808
1587760273,1.4109589041095891,-0.3287671232876712,-7.5479452054794525,-5.424657534246576
1587760336,5.082191780821918,3.6027397260273974,-7.657534246575342,-6.835616438356165
