time,Velocity_Y
1587759803,102.64796077014127
1587759866,-129.66245276951537
1587759918,-346.2495444067531
1587759981,-576.5839689011768
1587760043,-800.75525647745
1587760101,-1021.6394788027472
1587760163,-1241.9084241105743
1587760225,-1453.4477976902767
1587760283,-1662.4204705113782
1587760340,-1851.3702271702712
