time,Sun_Y_Min,Sun_Y_Max,Sun_Y_Avg,Sun_Z_Min
1587759798,0.69906597599,0.8648679337999999,0.77355936436,0.48696886449
1587759856,0.86224342278,0.9786679523299999,0.9281613739799999,0.20166010255999997
1587759918,0.83654762884,0.99710056461,0.9869687313699999,-0.088500953
1587759976,0.9530026759599999,0.9959103793799999,0.9755551601899999,-0.17779536281999997
1587760033,0.9477536539199999,0.95840428585,0.95169042045,-0.16955561891999998
1587760096,0.88369727449,0.9587399791199999,0.93472265153,0.03625487316
1587760153,0.73132304748,0.8834531339299999,0.8006284489500001,0.38140858986
1587760216,0.7137449271599999,0.81744363002,0.7390745102599999,0.3488158251
1587760278,0.81793191114,0.9944150184499999,0.9381101018,-0.00955199941
1587760336,0.48825060243,0.9446713793499999,0.6747129551299998,-0.22363275296
