time,Position_Y
1587759803,3385578.3583188513
1587759866,3384754.4283722243
1587759918,3371187.010658997
1587759981,3343030.892119398
1587760043,3301696.816026599
1587760101,3247006.5023936033
1587760163,3177944.1297568143
1587760225,3097056.0401879954
1587760283,3001988.702988308
1587760340,2901815.0960821547
