time,Accumulated_Charge_Min,Accumulated_Charge_Max,Accumulated_Charge_Avg
1581627320,19.481241861979168,40.0284423828125,39.697102864583336
1581627378,19.481241861979168,40.0284423828125,39.6466064453125
1581627440,19.481241861979168,40.0284423828125,39.740681966145836
1581789622,19.481241861979168,40.0284423828125,39.7379150390625
1581789680,19.481241861979168,40.0284423828125,39.795328776041664
1581789742,19.481241861979168,40.0284423828125,39.738606770833336
1581789804,19.481241861979168,40.0284423828125,39.663899739583336
1581789862,19.481241861979168,40.0284423828125,39.634847005208336
1581789924,19.481241861979168,40.0284423828125,39.632080078125
1581789982,19.481241861979168,40.0284423828125,39.624471028645836
1581790044,19.481241861979168,40.0284423828125,39.723388671875
1581790101,19.481241861979168,40.0284423828125,39.8416748046875
1581790164,19.481241861979168,40.0284423828125,39.861043294270836
1581891801,19.481241861979168,40.0284423828125,39.70263671875
1581891863,19.481241861979168,40.0284423828125,39.6839599609375
1581891921,19.481241861979168,40.0284423828125,39.751749674479164
1581891983,19.481241861979168,40.0284423828125,39.794637044270836
1581892041,19.481241861979168,40.0284423828125,39.839599609375
1581892103,19.481241861979168,40.0284423828125,39.814005533854164
1581892160,19.481241861979168,40.0284423828125,39.730305989583336
1581892223,19.481241861979168,40.0284423828125,39.647989908854164
1581892280,19.481241861979168,40.0284423828125,39.631388346354164
1581892343,19.481241861979168,40.0284423828125,39.703328450520836
1581892400,19.481241861979168,40.0284423828125,39.722005208333336
1581892462,19.481241861979168,40.0284423828125,39.7254638671875
1582223663,36.713663736979164,39.932291666666664,38.099202473958336
1582223721,36.713663736979164,39.932291666666664,38.230631510416664
1582223779,36.713663736979164,39.932291666666664,38.229248046875
1582223783,36.713663736979164,39.932291666666664,38.228556315104164
1582223841,36.713663736979164,39.932291666666664,38.200887044270836
1582223903,36.713663736979164,39.932291666666664,38.146931966145836
1582223961,36.713663736979164,39.932291666666664,38.188435872395836
1582224023,36.713663736979164,39.932291666666664,38.323323567708336
1582224081,36.713663736979164,39.932291666666664,38.467203776041664
1582224143,36.713663736979164,39.932291666666664,38.591023763020836
1582224200,36.713663736979164,39.932291666666664,38.725911458333336
1582224263,36.713663736979164,39.932291666666664,38.877400716145836
1582224320,36.713663736979164,39.932291666666664,39.035115559895836
1582224383,36.713663736979164,39.932291666666664,39.196980794270836
1582224440,36.713663736979164,39.932291666666664,39.3353271484375
1582224502,36.713663736979164,39.932291666666664,39.491658528645836
1582229483,36.713663736979164,39.932291666666664,39.842366536458336
1582229598,36.713663736979164,39.932291666666664,39.848592122395836
1582229603,36.713663736979164,39.932291666666664,39.8458251953125
1582229661,36.713663736979164,39.932291666666664,39.816080729166664
1582229723,36.713663736979164,39.932291666666664,39.782877604166664
1582229781,36.713663736979164,39.932291666666664,39.811238606770836
1582229843,36.713663736979164,39.932291666666664,39.845133463541664
1582229900,36.713663736979164,39.932291666666664,39.789103190104164
1582229963,36.713663736979164,39.932291666666664,39.784952799479164
1582230020,36.713663736979164,39.932291666666664,39.814005533854164
1582230083,36.713663736979164,39.932291666666664,39.823689778645836
1582230140,36.713663736979164,39.932291666666664,39.827840169270836
1582230202,36.713663736979164,39.932291666666664,39.790486653645836
1582230260,36.713663736979164,39.932291666666664,39.728922526041664
1582230322,36.713663736979164,39.932291666666664,39.718546549479164
1582235360,36.713663736979164,39.932291666666664,39.7462158203125
1582235422,36.713663736979164,39.932291666666664,39.751749674479164
1582235484,36.713663736979164,39.932291666666664,39.682576497395836
1582235542,36.713663736979164,39.932291666666664,39.598185221354164
1582235604,36.713663736979164,39.932291666666664,39.5220947265625
1582235662,36.713663736979164,39.932291666666664,39.508951822916664
1582235724,36.713663736979164,39.932291666666664,39.591959635416664
1582235782,36.713663736979164,39.932291666666664,39.705403645833336
1582235844,36.713663736979164,39.932291666666664,39.757975260416664
1582235902,36.713663736979164,39.932291666666664,39.791178385416664
1582235964,36.713663736979164,39.932291666666664,39.836140950520836
1582236021,36.713663736979164,39.932291666666664,39.847900390625
1582236084,36.713663736979164,39.932291666666664,39.771809895833336
1582308084,36.3677978515625,39.932291666666664,36.665242513020836
1582308141,36.3677978515625,39.932291666666664,36.697062174479164
1582308204,36.3677978515625,39.932291666666664,36.812581380208336
1582308261,36.3677978515625,39.932291666666664,36.935017903645836
1582308324,36.3677978515625,39.932291666666664,36.76416015625
1582308381,36.3677978515625,39.932291666666664,36.533121744791664
1582308443,36.230143229166664,39.932291666666664,36.329752604166664
1582308501,36.01708984375,39.932291666666664,36.123616536458336
1582308683,34.991251627604164,39.932291666666664,35.225056966145836
1582308741,34.5291748046875,39.932291666666664,34.7532958984375
1582308803,34.143880208333336,39.932291666666664,34.329264322916664
1582308861,33.830525716145836,39.932291666666664,33.9813232421875
1582319962,32.6739501953125,39.932291666666664,37.315470377604164
1582320020,32.6739501953125,39.932291666666664,37.419921875
1582320082,37.5257568359375,37.5672607421875,37.54443359375
1582320140,37.5257568359375,37.692464192708336,37.628824869791664
1582320202,37.5257568359375,37.79345703125,37.747802734375
1582320260,37.5257568359375,37.825276692708336,37.809366861979164
1582320322,37.5257568359375,37.887532552083336,37.858479817708336
1582320384,37.5257568359375,37.933186848958336,37.900675455729164
1582320442,37.5257568359375,38.0445556640625,37.989217122395836
1582320504,37.5257568359375,38.130330403645836,38.093668619791664
1582320562,37.5257568359375,38.132405598958336,38.1275634765625
1582488773,36.771077473958336,39.858968098958336,38.283894856770836
1582488893,36.771077473958336,39.858968098958336,38.40771484375
1582488955,36.771077473958336,39.858968098958336,38.2603759765625
1582489022,36.771077473958336,39.858968098958336,37.929036458333336
1582489075,36.771077473958336,39.858968098958336,37.825276692708336
1582489195,36.771077473958336,39.858968098958336,37.253214518229164
1582489253,36.636189778645836,39.858968098958336,36.850626627604164
1582916934,33.80078125,39.955810546875,38.0196533203125
1582916995,33.80078125,39.955810546875,38.198811848958336
1582917053,33.80078125,39.955810546875,38.390421549479164
1582917124,33.80078125,39.955810546875,38.618693033854164
1582917172,33.80078125,39.955810546875,38.6795654296875
1582983836,33.80078125,39.961344401041664,37.3804931640625
1582983894,33.80078125,39.961344401041664,37.516764322916664
1582983956,33.80078125,39.961344401041664,37.6544189453125
1582984014,33.80078125,39.961344401041664,37.763020833333336
1582984076,33.80078125,39.961344401041664,37.8660888671875
1582984134,33.80078125,39.961344401041664,37.963623046875
1582984196,33.80078125,39.961344401041664,38.018961588541664
1582984253,33.80078125,39.961344401041664,38.016886393229164
1582984316,33.80078125,39.961344401041664,37.962239583333336
1582984373,33.80078125,39.961344401041664,37.8909912109375
1582984436,33.80078125,39.961344401041664,37.852945963541664
1582984493,33.80078125,39.961344401041664,37.864705403645836
1582984556,33.80078125,39.961344401041664,37.9407958984375
1582984613,33.80078125,39.961344401041664,38.084676106770836
1582989776,33.80078125,39.961344401041664,37.756795247395836
1582989833,33.80078125,39.961344401041664,37.873697916666664
1582989896,33.80078125,39.961344401041664,37.922119140625
1582989953,33.80078125,39.961344401041664,37.90966796875
1582990016,33.80078125,39.961344401041664,37.8453369140625
1582990073,33.80078125,39.961344401041664,37.798990885416664
1582990136,33.80078125,39.961344401041664,37.821818033854164
1582990193,33.80078125,39.961344401041664,37.918660481770836
1582990255,33.80078125,39.961344401041664,38.056315104166664
1582990313,33.80078125,39.961344401041664,38.209879557291664
1582990375,33.80078125,39.961344401041664,38.3350830078125
1582990433,33.80078125,39.961344401041664,38.456136067708336
1582990495,33.80078125,39.961344401041664,38.612467447916664
1582995475,33.80078125,39.961344401041664,37.439290364583336
1582995533,33.80078125,39.961344401041664,37.5880126953125
1582995595,33.80078125,39.961344401041664,37.776163736979164
1582995652,33.80078125,39.961344401041664,37.948404947916664
1582995715,33.80078125,39.961344401041664,38.070149739583336
1582995772,33.80078125,39.961344401041664,38.151082356770836
1582995835,33.80078125,39.961344401041664,38.157999674479164
1582995892,33.80078125,39.961344401041664,38.109578450520836
1582995954,33.80078125,39.961344401041664,38.088134765625
1582996012,33.80078125,39.961344401041664,38.138631184895836
1582996074,33.80078125,39.961344401041664,38.284586588541664
1582996132,33.80078125,39.961344401041664,38.45751953125
1582996194,33.80078125,39.961344401041664,38.583414713541664
1582996252,33.80078125,39.961344401041664,38.6878662109375
1582996314,33.80078125,39.961344401041664,38.809611002604164
1583074016,33.80078125,40.006306966145836,37.267740885416664
1583074073,33.80078125,40.006306966145836,37.39501953125
1583074136,33.80078125,40.006306966145836,37.509847005208336
1583074193,33.80078125,40.006306966145836,37.607381184895836
1583074256,33.80078125,40.006306966145836,37.740885416666664
1583074313,33.80078125,40.006306966145836,37.920735677083336
1583074375,33.80078125,40.006306966145836,38.0985107421875
1583074433,33.80078125,40.006306966145836,38.255533854166664
1583074495,33.80078125,40.006306966145836,38.375895182291664
1583074553,33.80078125,40.006306966145836,38.481038411458336
1583074615,33.80078125,40.006306966145836,38.586873372395836
1583074673,33.80078125,40.006306966145836,38.730753580729164
1583074735,33.80078125,40.006306966145836,38.8995361328125
1583074793,33.80078125,40.006306966145836,39.0302734375
1583074855,33.80078125,40.006306966145836,39.105672200520836
1583080016,33.80078125,40.006306966145836,36.462565104166664
1583080073,33.80078125,40.006306966145836,36.416910807291664
1583080136,33.80078125,40.006306966145836,36.349812825520836
1583080193,33.80078125,40.006306966145836,36.294474283854164
1583080256,33.80078125,40.006306966145836,36.2578125
1583080313,33.80078125,40.006306966145836,36.235677083333336
1583080375,33.80078125,40.006306966145836,36.21630859375
1583080433,33.80078125,40.006306966145836,36.173421223958336
