time,PPT_Voltage_Min,PPT_Voltage_Max,PPT_Voltage_Avg
1581192560,0.032,0.5640000000000001,0.04
1581192618,0.032,0.5640000000000001,0.04
1581192680,0.032,0.5640000000000001,0.04
1581192800,0.032,0.5640000000000001,0.04
1581192858,0.032,0.5640000000000001,0.04
1581192920,0.032,0.5640000000000001,0.04
1581210201,0.032,0.5640000000000001,0.04
1581210258,0.032,0.5640000000000001,0.04
1581210321,0.032,0.5640000000000001,0.04
1581210345,0.032,0.5640000000000001,0.04
1581210378,0.032,0.5640000000000001,0.04
1581210441,0.032,0.5640000000000001,0.04
1581210498,0.032,0.5640000000000001,0.04
1581210560,0.032,0.5640000000000001,0.04
1581210618,0.032,0.5640000000000001,0.04
1581210680,0.032,0.5640000000000001,0.04
1581210738,0.032,0.5640000000000001,0.04
1581288800,0.032,0.5640000000000001,0.04
1581457641,0.032,0.5640000000000001,0.04
1581457699,0.032,0.5640000000000001,0.04
1581536360,0.032,0.5640000000000001,0.04
1581536418,0.032,0.5640000000000001,0.04
1581536480,0.032,0.5640000000000001,0.04
1581536537,0.032,0.5640000000000001,0.04
1581536600,0.032,0.5640000000000001,0.04
1581536657,0.032,0.5640000000000001,0.04
1581536720,0.032,0.5640000000000001,0.04
1581536777,0.032,0.5640000000000001,0.04
1581536840,0.032,0.5640000000000001,0.04
1581626601,0.032,0.5640000000000001,0.04
1581626659,0.032,0.5640000000000001,0.04
1581626721,0.032,0.5640000000000001,0.04
1581626778,0.032,0.5640000000000001,0.04
1581626841,0.032,0.5640000000000001,0.04
1581626898,0.032,0.5640000000000001,0.04
1581626961,0.032,0.5640000000000001,0.04
1581627018,0.032,0.5640000000000001,0.04
1581627081,0.032,0.5640000000000001,0.04
1581627138,0.032,0.5640000000000001,0.04
1581627200,0.032,0.5640000000000001,0.04
1581627258,0.032,0.5640000000000001,0.04
1581627320,0.032,0.5640000000000001,0.04
1581627378,0.032,0.5640000000000001,0.04
1581627440,0.032,0.5640000000000001,0.04
1581789622,0.032,0.5640000000000001,0.04
1581789684,0.032,0.5640000000000001,0.04
1581789742,0.032,0.5640000000000001,0.04
