time,Position_Z
1587759803,1731884.9922880654
1587759866,2166739.3922203556
1587759918,2564901.2419424625
1587759981,2980562.9865506263
1587760043,3377227.922376004
1587760101,3760195.2054305775
1587760163,4133905.982237977
1587760225,4484600.682901091
1587760283,4822501.191880991
1587760340,5120019.226481554
