time,Mag2_X_Min,Mag2_X_Max,Mag2_X_Avg,Mag2_Y_Min
1587759794,-1.273972602739726,1.4383561643835616,0.0821917808219178,-8.73972602739726
1587759856,1.4383561643835616,2.835616438356164,2.356164383561644,-9.150684931506849
1587759914,1.0547945205479452,2.8219178082191783,2.1780821917808217,-9.63013698630137
1587759976,-1.095890410958904,1.0547945205479452,-0.1917808219178082,-9.63013698630137
1587760033,-1.2191780821917808,-0.684931506849315,-1.0684931506849316,-9.273972602739725
1587760096,-0.684931506849315,0.3150684931506849,-0.0684931506849315,-9.287671232876713
1587760153,-0.6164383561643836,0.3287671232876712,0.0,-8.547945205479452
1587760216,-1.8767123287671232,-0.6164383561643836,-1.356164383561644,-6.273972602739726
1587760273,-1.8904109589041096,0.7534246575342466,-1.0410958904109588,-7.863013698630137
1587760336,0.7534246575342466,4.506849315068493,3.0,-7.972602739726027
