time,ESTIM_State,ESTIM_Current_Min,ESTIM_Current_Max,ESTIM_Current_Avg
1581192560,Off_Initial,-16.0,15.99951171875,0.0
1581192618,Off_Initial,-16.0,15.99951171875,0.0
1581192680,Off_Initial,-16.0,15.99951171875,0.0
1581192800,Off_Initial,-16.0,15.99951171875,0.0
1581192858,Off_Initial,-16.0,15.99951171875,0.0
1581192920,Off_Initial,-16.0,15.99951171875,0.0
1581210201,Off_Initial,-16.0,15.99951171875,0.0
1581210258,Off_Initial,-16.0,15.99951171875,0.0
1581210321,Off_Initial,-16.0,15.99951171875,0.0
1581210345,Off_Initial,-16.0,15.99951171875,0.0
1581210378,Off_Initial,-16.0,15.99951171875,0.0
1581210441,Off_Initial,-16.0,15.99951171875,0.0
1581210498,Off_Initial,-16.0,15.99951171875,0.0
1581210560,Off_Initial,-16.0,15.99951171875,0.0
1581210618,Off_Initial,-16.0,15.99951171875,0.0
1581210680,Off_Initial,-16.0,15.99951171875,0.0
1581210738,Off_Initial,-16.0,15.99951171875,0.0
1581288800,Off_Initial,-16.0,15.99951171875,0.0
1581457641,Off_Initial,-16.0,15.99951171875,0.0
1581457699,Off_Initial,-16.0,15.99951171875,0.0
1581536360,Off_Initial,-16.0,15.99951171875,0.0
1581536418,Off_Initial,-16.0,15.99951171875,0.0
1581536480,Off_Initial,-16.0,15.99951171875,0.0
1581536537,Off_Initial,-16.0,15.99951171875,0.0
1581536600,Off_Initial,-16.0,15.99951171875,0.0
1581536657,Off_Initial,-16.0,15.99951171875,0.0
1581536720,Off_Initial,-16.0,15.99951171875,0.0
1581536777,Off_Initial,-16.0,15.99951171875,0.0
1581536840,Off_Initial,-16.0,15.99951171875,0.0
1581626601,Off_Initial,-16.0,15.99951171875,0.0
1581626659,Off_Initial,-16.0,15.99951171875,0.0
1581626721,Off_Initial,-16.0,15.99951171875,0.0
1581626778,Off_Initial,-16.0,15.99951171875,0.0
1581626841,Off_Initial,-16.0,15.99951171875,0.0
1581626898,Off_Initial,-16.0,15.99951171875,0.0
1581626961,Off_Initial,-16.0,15.99951171875,0.0
1581627018,Off_Initial,-16.0,15.99951171875,0.0
1581627081,Off_Initial,-16.0,15.99951171875,0.0
1581627138,Off_Initial,-16.0,15.99951171875,0.0
1581627200,Off_Initial,-16.0,15.99951171875,0.0
1581627258,Off_Initial,-16.0,15.99951171875,0.0
1581627320,Off_Initial,-16.0,15.99951171875,0.0
1581627378,Off_Initial,-16.0,15.99951171875,0.0
1581627440,Off_Initial,-16.0,15.99951171875,0.0
1581789622,Off_Initial,-16.0,15.99951171875,0.0
1581789684,Off_Initial,-16.0,15.99951171875,0.0
1581789742,Off_Initial,-16.0,15.99951171875,0.0
1581789804,Off_Initial,-16.0,15.99951171875,0.0
1581789862,Off_Initial,-16.0,15.99951171875,0.0
1581789924,Off_Initial,-16.0,15.99951171875,0.0
1581789982,Off_Initial,-16.0,15.99951171875,0.0
1581790044,Off_Initial,-16.0,15.99951171875,0.0
1581790101,Off_Initial,-16.0,15.99951171875,0.0
1581790164,Off_Initial,-16.0,15.99951171875,0.0
1581891801,Off_Initial,-16.0,15.99951171875,0.0
1581891863,Off_Initial,-16.0,15.99951171875,0.0
1581891921,Off_Initial,-16.0,15.99951171875,0.0
1581891983,Off_Initial,-16.0,15.99951171875,0.0
1581892041,Off_Initial,-16.0,15.99951171875,0.0
1581892103,Off_Initial,-16.0,15.99951171875,0.0
1581892160,Off_Initial,-16.0,15.99951171875,0.0
1581892223,Off_Initial,-16.0,15.99951171875,0.0
1581892280,Off_Initial,-16.0,15.99951171875,0.0
1581892343,Off_Initial,-16.0,15.99951171875,0.0
1581892400,Off_Initial,-16.0,15.99951171875,0.0
1581892462,Off_Initial,-16.0,15.99951171875,0.0
1582223663,Off_Initial,-15.5,15.49951171875,0.0
1582223721,Off_Initial,-15.5,15.49951171875,0.0
1582223779,Off_Initial,-15.5,15.49951171875,0.0
1582223783,Off_Initial,-15.5,15.49951171875,0.0
1582223788,Off_Initial,-15.5,15.49951171875,0.0
1582223841,Off_Initial,-15.5,15.49951171875,0.0
1582223903,Off_Initial,-15.5,15.49951171875,0.0
1582223961,Off_Initial,-15.5,15.49951171875,0.0
1582224023,Off_Initial,-15.5,15.49951171875,0.0
1582224081,Off_Initial,-15.5,15.49951171875,0.0
1582224143,Off_Initial,-15.5,15.49951171875,0.0
1582224200,Off_Initial,-15.5,15.49951171875,0.0
1582224263,Off_Initial,-15.5,15.49951171875,0.0
1582224320,Off_Initial,-15.5,15.49951171875,0.0
1582224383,Off_Initial,-15.5,15.49951171875,0.0
1582224440,Off_Initial,-15.5,15.49951171875,0.0
1582224502,Off_Initial,-15.5,15.49951171875,0.0
1582229483,Off_Initial,-15.5,15.49951171875,0.0
1582229598,Off_Initial,-15.5,15.49951171875,0.0
1582229603,Off_Initial,-15.5,15.49951171875,0.0
1582229661,Off_Initial,-15.5,15.49951171875,0.0
1582229723,Off_Initial,-15.5,15.49951171875,0.0
1582229781,Off_Initial,-15.5,15.49951171875,0.0
1582229843,Off_Initial,-15.5,15.49951171875,0.0
1582229900,Off_Initial,-15.5,15.49951171875,0.0
1582229963,Off_Initial,-15.5,15.49951171875,0.0
1582230020,Off_Initial,-15.5,15.49951171875,0.0
1582230083,Off_Initial,-15.5,15.49951171875,0.0
1582230140,Off_Initial,-15.5,15.49951171875,0.0
1582230202,Off_Initial,-15.5,15.49951171875,0.0
1582230260,Off_Initial,-15.5,15.49951171875,0.0
1582230322,Off_Initial,-15.5,15.49951171875,0.0
1582235360,Off_Initial,-15.5,15.49951171875,0.0
1582235422,Off_Initial,-15.5,15.49951171875,0.0
1582235484,Off_Initial,-15.5,15.49951171875,0.0
1582235542,Off_Initial,-15.5,15.49951171875,0.0
1582235604,Off_Initial,-15.5,15.49951171875,0.0
1582235662,Off_Initial,-15.5,15.49951171875,-0.00146484375
1582235724,Off_Initial,-15.5,15.49951171875,0.0
1582235782,Off_Initial,-15.5,15.49951171875,0.0
1582235844,Off_Initial,-15.5,15.49951171875,0.0
1582235902,Off_Initial,-15.5,15.49951171875,0.0
1582235964,Off_Initial,-15.5,15.49951171875,0.0
1582236021,Off_Initial,-15.5,15.49951171875,0.0
1582236084,Off_Initial,-15.5,15.49951171875,0.0
1582308084,Off_Initial,-15.5,15.49951171875,0.0
1582308141,Off_Initial,-15.5,15.49951171875,0.0
1582308204,Off_Initial,-15.5,15.49951171875,0.0
1582308261,Off_Initial,-15.5,15.49951171875,0.0
1582308324,Off_Initial,-15.5,15.49951171875,0.0
1582308381,Off_Initial,-15.5,15.49951171875,0.0
1582308443,Off_Initial,-15.5,15.49951171875,0.0
1582308501,Off_Initial,-15.5,15.49951171875,0.0
1582308683,Off_Initial,-15.5,15.49951171875,0.0
1582308741,Off_Initial,-15.5,15.49951171875,0.0
1582308803,Off_Initial,-15.5,15.49951171875,0.0
1582308861,Off_Initial,-15.5,15.49951171875,0.0
1582319962,Off_Initial,-15.5,15.49951171875,0.0
1582320020,Off_Initial,-15.5,15.49951171875,0.0
1582320082,Off_Initial,-0.00048828125,0.0,0.0
1582320140,Off_Initial,-0.0009765625,0.00048828125,0.0
1582320202,Off_Initial,-0.0009765625,0.00048828125,0.0
1582320264,Off_Initial,-0.0009765625,0.00048828125,0.0
1582320322,Off_Initial,-0.0009765625,0.00048828125,0.0
1582320384,Off_Initial,-0.0009765625,0.00048828125,0.0
1582320442,Off_Initial,-0.0009765625,0.00048828125,0.0
1582320504,Off_Initial,-0.0009765625,0.00048828125,0.0
1582320562,Off_Initial,-0.0009765625,0.00048828125,0.0
1582488773,Off_Initial,-0.0009765625,1.23193359375,0.0
1582488893,Off_Initial,-0.0009765625,1.23193359375,0.0
1582488955,Off_Initial,-0.0009765625,1.23193359375,0.0
1582489022,Off_Initial,-0.0009765625,1.23193359375,0.0
1582489075,Off_Initial,-0.0009765625,1.23193359375,0.0
1582489195,Off_Initial,-0.0009765625,1.23193359375,0.0
1582489253,Off_Initial,-0.0009765625,1.23193359375,0.0
1582916934,Off_Initial,-15.5,13.49951171875,0.0
1582916995,Off_Initial,-15.5,13.49951171875,0.0
1582917053,Off_Initial,-15.5,13.49951171875,0.0
