time,Voltage_Min,Voltage_Max,Voltage_Avg,Balancer_Enabled,Heater_Enabled,Heater_Automation_Enabled,Balancer_Automation_Enabled
1581192560,6.573141069657436,6.986910811017014,6.738072785534448,True,False,False,False
1581192618,6.573141069657436,6.986910811017014,6.744914930952926,True,False,False,False
1581192680,6.573141069657436,6.986910811017014,6.793530174715801,True,False,False,False
1581192800,6.573141069657436,6.986910811017014,6.8064942397192345,True,False,False,False
1581192858,6.573141069657436,6.986910811017014,6.758239108873122,True,False,False,False
1581192920,6.573141069657436,6.986910811017014,6.759319447623407,True,False,False,False
1581210201,6.573141069657436,6.986910811017014,6.753557640955215,True,False,False,False
1581210258,6.573141069657436,6.986910811017014,6.730150301365683,True,False,False,False
1581210321,6.573141069657436,6.986910811017014,6.717906462195773,True,False,False,False
1581210345,6.573141069657436,6.986910811017014,6.725108720531014,True,False,False,False
1581210378,6.573141069657436,6.986910811017014,6.770122835126268,True,False,False,False
1581210441,6.573141069657436,6.986910811017014,6.7697627222095065,True,False,False,False
1581210498,6.573141069657436,6.986910811017014,6.790289158464943,True,False,False,False
1581210560,6.573141069657436,6.986910811017014,6.791009384298468,True,False,False,False
1581210618,6.573141069657436,6.986910811017014,6.769402609292745,True,False,False,False
1581210680,6.573141069657436,6.986910811017014,6.7589593347066454,True,False,False,False
1581210738,6.573141069657436,6.986910811017014,6.762200350957504,True,False,False,False
1581288800,6.573141069657436,6.986910811017014,6.749596398870833,True,False,False,False
1581457641,6.573141069657436,6.986910811017014,6.745995269703212,True,False,False,False
1581457699,6.573141069657436,6.986910811017014,6.802532997634851,True,False,False,False
1581536360,6.573141069657436,6.986910811017014,6.734111543450065,True,False,False,False
1581536418,6.573141069657436,6.986910811017014,6.735551995117113,True,False,False,False
1581536480,6.573141069657436,6.986910811017014,6.797131303883421,True,False,False,False
1581536537,6.573141069657436,6.986910811017014,6.873475242236973,True,False,False,False
1581536600,6.573141069657436,6.986910811017014,6.942256809338522,True,False,False,False
1581536657,6.573141069657436,6.986910811017014,6.963863584344244,True,False,False,False
1581536720,6.573141069657436,6.986910811017014,6.973586633096819,True,False,False,False
1581536777,6.573141069657436,6.986910811017014,6.874195468070497,True,False,False,False
1581536840,6.573141069657436,6.986910811017014,6.792809948882278,True,False,False,False
1581626601,6.573141069657436,6.986910811017014,6.718266575112536,True,False,False,False
1581626659,6.573141069657436,6.986910811017014,6.6977401388571,True,False,False,False
1581626721,6.573141069657436,6.986910811017014,6.723668268863967,True,False,False,False
1581626778,6.573141069657436,6.986910811017014,6.741673914702068,True,False,False,False
1581626841,6.573141069657436,6.986910811017014,6.773723964293889,True,False,False,False
1581626898,6.573141069657436,6.986910811017014,6.78452735179675,True,False,False,False
1581626961,6.573141069657436,6.986910811017014,6.81981841763943,True,False,False,False
1581627018,6.573141069657436,6.986910811017014,6.831702143892577,True,False,False,False
1581627081,6.573141069657436,6.986910811017014,6.762200350957504,True,False,False,False
1581627138,6.573141069657436,6.986910811017014,6.74383459220264,True,False,False,False
1581627200,6.573141069657436,6.986910811017014,6.764361028458076,True,False,False,False
1581627258,6.573141069657436,6.986910811017014,6.770843060959793,True,False,False,False
1581627320,6.573141069657436,6.986910811017014,6.754998092622263,True,False,False,False
1581627378,6.573141069657436,6.986910811017014,6.7366323338674,True,False,False,False
1581627440,6.573141069657436,6.986910811017014,6.814776836804761,True,False,False,False
1581789622,6.573141069657436,6.987631036850538,6.828821240558481,True,False,False,False
1581789680,6.573141069657436,6.987631036850538,6.865552758068207,True,False,False,False
1581789742,6.573141069657436,6.987631036850538,6.794610513466088,True,False,False,False
1581789804,6.573141069657436,6.987631036850538,6.746715495536736,True,False,False,False
1581789862,6.573141069657436,6.987631036850538,6.741313801785306,True,False,False,False
1581789924,6.573141069657436,6.987631036850538,6.744914930952926,True,False,False,False
1581789982,6.573141069657436,6.987631036850538,6.74203402761883,True,False,False,False
1581790044,6.573141069657436,6.987631036850538,6.829901579308767,True,False,False,False
1581790101,6.573141069657436,6.987631036850538,6.931453421835661,True,False,False,False
1581790164,6.573141069657436,6.987631036850538,6.975387197680629,True,False,False,False
1581891801,6.573141069657436,6.988351262684063,6.766161593041886,True,False,False,False
1581891863,6.573141069657436,6.988351262684063,6.7805661097123675,True,False,False,False
1581891921,6.573141069657436,6.988351262684063,6.8345830472266735,True,False,False,False
1581891983,6.573141069657436,6.988351262684063,6.868793774319067,True,False,False,False
1581892041,6.573141069657436,6.988351262684063,6.925331502250707,True,False,False,False
1581892103,6.573141069657436,6.988351262684063,6.872394903486687,True,False,False,False
1581892160,6.573141069657436,6.988351262684063,6.78992904554818,True,False,False,False
1581892223,6.573141069657436,6.988351262684063,6.739513237201495,True,False,False,False
1581892280,6.573141069657436,6.988351262684063,6.754998092622263,True,False,False,False
1581892343,6.573141069657436,6.988351262684063,6.805053788052186,True,False,False,False
1581892400,6.573141069657436,6.988351262684063,6.803613336385139,True,False,False,False
1581892462,6.573141069657436,6.988351262684063,6.810095368886855,True,False,False,False
1582223663,6.590786602578775,6.989431601434348,6.707463187609675,True,False,False,False
1582223721,6.590786602578775,6.989431601434348,6.679734493018998,True,False,False,False
1582223779,6.590786602578775,6.989431601434348,6.661728847180896,True,False,False,False
1582223783,6.590786602578775,6.989431601434348,6.660288395513848,True,False,False,False
1582223841,6.590786602578775,6.989431601434348,6.646964217593653,True,False,False,False
1582223903,6.590786602578775,6.989431601434348,6.648764782177463,True,False,False,False
1582223961,6.590786602578775,6.989431601434348,6.672892347600519,True,False,False,False
1582224023,6.590786602578775,6.989431601434348,6.697380025940338,True,False,False,False
1582224081,6.590786602578775,6.989431601434348,6.7045822842755785,True,False,False,False
1582224143,6.590786602578775,6.989431601434348,6.700981155107958,True,False,False,False
1582224200,6.590786602578775,6.989431601434348,6.708183413443199,True,False,False,False
1582224263,6.590786602578775,6.989431601434348,6.71718623636225,True,False,False,False
1582224320,6.590786602578775,6.989431601434348,6.722227817196917,True,False,False,False
1582224383,6.590786602578775,6.989431601434348,6.730150301365683,True,False,False,False
1582224440,6.590786602578775,6.989431601434348,6.740953688868544,True,False,False,False
1582224502,6.590786602578775,6.989431601434348,6.779485770962082,True,False,False,False
1582229483,6.590786602578775,6.999154650186924,6.963503471427481,True,False,False,False
1582229598,6.590786602578775,6.999154650186924,6.890760662241551,True,False,False,False
1582229603,6.590786602578775,6.999154650186924,6.885719081406882,True,False,False,False
1582229661,6.590786602578775,6.999154650186924,6.845026321812773,True,False,False,False
1582229723,6.590786602578775,6.999154650186924,6.825580224307623,True,False,False,False
1582229781,6.590786602578775,6.999154650186924,6.8716746776531625,True,False,False,False
1582229843,6.590786602578775,6.999154650186924,6.882478065156024,True,False,False,False
1582229900,6.590786602578775,6.999154650186924,6.809015030136569,True,False,False,False
1582229963,6.590786602578775,6.999154650186924,6.829181353475243,True,False,False,False
1582230020,6.590786602578775,6.999154650186924,6.856910048065919,True,False,False,False
1582230083,6.590786602578775,6.999154650186924,6.863392080567636,True,False,False,False
1582230140,6.590786602578775,6.999154650186924,6.864472419317922,True,False,False,False
1582230202,6.590786602578775,6.999154650186924,6.809735255970092,True,False,False,False
1582230260,6.590786602578775,6.999154650186924,6.7676020447089345,True,False,False,False
1582230322,6.590786602578775,6.999154650186924,6.770482948043031,True,False,False,False
1582235360,6.590786602578775,6.999154650186924,6.838904402227818,True,False,False,False
1582235422,6.590786602578775,6.999154650186924,6.852948805981536,True,False,False,False
1582235484,6.590786602578775,6.999154650186924,6.764361028458076,True,False,False,False
1582235542,6.590786602578775,6.999154650186924,6.722227817196917,True,False,False,False
