time,Mag1_Variance_X,Mag1_Variance_Y,Mag1_Variance_Z
1587759794,65535,65535,65535
1587759856,65535,65535,65535
1587759914,65535,65535,65535
1587759976,65535,65535,65535
1587760033,65535,65535,65535
1587760096,65535,65535,65535
1587760153,65535,65535,65535
1587760216,65535,65535,65535
1587760273,65535,65535,65535
1587760336,65535,65535,65535
