time,Spacecraft_Mode,Point_True
1587759798,2,0
1587759856,2,0
1587759918,2,0
1587759981,2,0
1587760033,2,0
1587760096,2,0
1587760158,2,0
1587760216,2,0
1587760273,2,0
1587760336,2,0
