time,Fire_Count,Fault_Count,Last_Main_Charge_Time,SMT_Wait_Time
1582989776,2,1,0.59075927734375,0.00799560546875
1582989833,2,1,0.59075927734375,0.00799560546875
1582989896,2,1,0.59075927734375,0.00799560546875
1582989953,2,1,0.59075927734375,0.00799560546875
1582990016,2,1,0.59075927734375,0.00799560546875
1582990073,2,1,0.59075927734375,0.00799560546875
1582990136,2,1,0.59075927734375,0.00799560546875
1582990193,2,1,0.59075927734375,0.00799560546875
1582990255,2,1,0.59075927734375,0.00799560546875
1582990313,2,1,0.59075927734375,0.00799560546875
1582990375,2,1,0.59075927734375,0.00799560546875
1582990433,2,1,0.59075927734375,0.00799560546875
1582990495,2,1,0.59075927734375,0.00799560546875
1582995475,2,1,0.59075927734375,0.00799560546875
1582995533,2,1,0.59075927734375,0.00799560546875
1582995595,2,1,0.59075927734375,0.00799560546875
1583074073,2,1,0.2264404296875,0.00799560546875
1583074136,2,1,0.643707275390625,0.00799560546875
1583074193,2,1,0.643707275390625,0.00799560546875
1583074256,2,1,0.643707275390625,0.00799560546875
1583074313,2,1,0.643707275390625,0.00799560546875
1583074375,2,1,0.643707275390625,0.00799560546875
1583074433,2,1,0.643707275390625,0.00799560546875
1583074495,2,1,0.643707275390625,0.00799560546875
1583074553,2,1,0.643707275390625,0.00799560546875
1583074615,2,1,0.643707275390625,0.00799560546875
1583074673,2,1,0.643707275390625,0.00799560546875
1583074735,2,1,0.643707275390625,0.00799560546875
1583074793,2,1,0.643707275390625,0.00799560546875
1583074855,2,1,0.643707275390625,0.00799560546875
1583249034,2,1,0.643707275390625,0.00799560546875
1583249096,2,1,0.643707275390625,0.00799560546875
1583249154,2,1,0.643707275390625,0.00799560546875
1583249216,2,1,0.643707275390625,0.00799560546875
1583249274,2,1,0.643707275390625,0.00799560546875
1583249336,2,1,0.643707275390625,0.00799560546875
1583249394,2,1,0.643707275390625,0.00799560546875
1583254734,2,1,0.643707275390625,0.00799560546875
1583254796,2,1,0.643707275390625,0.00799560546875
1583997114,2,1,0.643707275390625,0.00799560546875
1583997176,2,1,0.669830322265625,0.00799560546875
1583997233,2,1,0.669830322265625,0.00799560546875
1583997296,2,1,0.669830322265625,0.00799560546875
1583997353,2,1,0.669830322265625,0.00799560546875
1583997416,2,1,0.669830322265625,0.00799560546875
1583997473,2,1,0.669830322265625,0.00799560546875
1583997536,2,1,0.669830322265625,0.00799560546875
1583997593,2,1,0.669830322265625,0.00799560546875
1583997655,2,1,0.669830322265625,0.00799560546875
1583997713,2,1,0.669830322265625,0.00799560546875
1584002993,2,1,0.669830322265625,0.00799560546875
1584003055,2,1,0.666778564453125,0.00799560546875
1584003113,2,1,0.666778564453125,0.00799560546875
1584003175,2,1,0.666778564453125,0.00799560546875
1584003233,2,1,0.666778564453125,0.00799560546875
