time,RAHS_State,RAHS_Current_Min,RAHS_Current_Max,RAHS_Current_Avg
1581192560,Off_Initial,-15.5,15.99951171875,0.0
1581192618,Off_Initial,-15.5,15.99951171875,0.0
1581192680,Off_Initial,-15.5,15.99951171875,0.0
1581192800,Off_Initial,-15.5,15.99951171875,0.0
1581192858,Off_Initial,-15.5,15.99951171875,0.0
1581192920,Off_Initial,-15.5,15.99951171875,0.0
1581210201,5,-15.5,15.99951171875,0.0
1581210258,5,-15.5,15.99951171875,0.0
1581210321,5,-15.5,15.99951171875,0.0
1581210345,5,-15.5,15.99951171875,0.0
1581210378,5,-15.5,15.99951171875,0.0
1581210441,5,-15.5,15.99951171875,0.0
1581210498,5,-15.5,15.99951171875,0.0
1581210560,5,-15.5,15.99951171875,0.0
1581210618,5,-15.5,15.99951171875,0.0
1581210680,5,-15.5,15.99951171875,0.0
1581210738,5,-15.5,15.99951171875,0.0
1581288800,5,-16.0,15.99951171875,0.0
1581457641,5,-16.0,15.99951171875,0.0
1581457699,5,-16.0,15.99951171875,0.0
1581536360,5,-16.0,15.99951171875,0.0
1581536418,5,-16.0,15.99951171875,0.0
1581536480,5,-16.0,15.99951171875,0.0
1581536537,5,-16.0,15.99951171875,0.0
1581536600,5,-16.0,15.99951171875,0.0
1581536657,5,-16.0,15.99951171875,0.0
1581536720,5,-16.0,15.99951171875,0.0
1581536777,5,-16.0,15.99951171875,0.0
1581536840,5,-16.0,15.99951171875,0.0
1581626601,5,-16.0,15.99951171875,0.0
1581626659,5,-16.0,15.99951171875,0.0
1581626721,5,-16.0,15.99951171875,0.0
1581626778,5,-16.0,15.99951171875,0.0
1581626841,5,-16.0,15.99951171875,0.0
1581626898,5,-16.0,15.99951171875,0.0
1581626961,5,-16.0,15.99951171875,0.0
1581627018,5,-16.0,15.99951171875,0.0
1581627081,5,-16.0,15.99951171875,0.0
1581627138,5,-16.0,15.99951171875,0.0
1581627200,5,-16.0,15.99951171875,0.0
1581627258,5,-16.0,15.99951171875,0.0
1581627320,5,-16.0,15.99951171875,0.0
1581627378,5,-16.0,15.99951171875,0.0
1581627440,5,-16.0,15.99951171875,0.0
1581789622,5,-16.0,15.99951171875,0.0
1581789684,5,-16.0,15.99951171875,0.0
1581789742,5,-16.0,15.99951171875,0.0
1581789804,5,-16.0,15.99951171875,0.0
1581789862,5,-16.0,15.99951171875,0.0
1581789924,5,-16.0,15.99951171875,0.0
1581789982,5,-16.0,15.99951171875,0.0
1581790044,5,-16.0,15.99951171875,0.0
