time,Panel_1_Power_Avg,Panel_2_Power_Avg,Panel_3_Power_Avg
1580528838,0.0,0.0,0.0
1580528902,0.0,0.0,0.0
1580528966,0.0,0.0,0.0
1580529030,0.0,0.0,0.0
1580529094,0.0,0.0,0.0
1580529158,0.0,0.0,0.0
1580529222,0.0,0.0,0.0
1580529286,0.0,0.0,0.0
1580529350,0.0,0.0,0.0
1580529414,0.0,0.0,0.0
1580529478,0.0,0.0,0.0
1580529542,0.0,0.0,0.0
1580529606,0.0,0.0,0.0
1580529670,0.0,0.0,0.0
1580529734,0.0,0.0,0.0
1580529798,0.0,0.0,0.0
1580529862,0.0,0.0,0.0
1580529926,0.0,0.0,0.0
1580529990,0.0,0.0,0.0
1580530054,0.0,0.0,0.0
1580530118,0.0,0.0,0.0
1580530182,0.0,0.0,0.0
1580530246,0.0,0.0,0.0
1580530310,0.0,0.0,0.0
1580530374,0.0,0.0,0.0
1580530438,0.0,0.0,0.0
1580530502,0.0,0.0,0.0
1580530566,0.0,0.0,0.0
1580530630,0.0,0.0,0.0
1580530694,0.0,0.0,0.0
1580530758,0.0,0.0,0.0
1580530822,0.0,0.0,0.0
1580530886,0.0,0.003662109375,0.0018310546875
1580530950,1.10870361328125,1.4666748046875,1.67999267578125
1580531014,1.724853515625,1.57745361328125,1.1004638671875
1580531078,2.03338623046875,0.7708740234375,1.351318359375
1580531142,0.3753662109375,0.61248779296875,2.332763671875
1580531206,1.7303466796875,2.57354736328125,1.36322021484375
1580531270,2.71820068359375,0.40374755859375,0.16021728515625
1580531334,0.84686279296875,0.9136962890625,3.13934326171875
1580531398,1.527099609375,2.71270751953125,1.2799072265625
1580531462,3.0596923828125,1.102294921875,0.897216796875
1580531526,0.662841796875,0.9100341796875,2.65594482421875
1580531590,1.93359375,2.44171142578125,1.9610595703125
1580531654,2.4591064453125,1.32568359375,1.14898681640625
1580531718,1.5234375,1.88232421875,2.47467041015625
1580531782,2.20458984375,2.10845947265625,1.60125732421875
1580531846,2.940673828125,1.30462646484375,1.607666015625
1580531910,0.8294677734375,1.06109619140625,2.64678955078125
1580531974,1.87042236328125,2.9681396484375,1.65802001953125
1580532038,3.05328369140625,0.81207275390625,0.52825927734375
1580532102,1.05010986328125,1.1334228515625,3.27301025390625
1580532166,1.611328125,2.7923583984375,1.318359375
1580532230,2.97271728515625,1.3018798828125,0.85235595703125
1580532294,0.9832763671875,0.95489501953125,2.35565185546875
1580532358,1.67449951171875,2.22930908203125,1.9244384765625
1580532422,2.2027587890625,1.61590576171875,1.05560302734375
1580532486,2.09014892578125,1.24786376953125,1.2890625
1580532550,1.24786376953125,1.38427734375,2.18170166015625
1580532614,1.5435791015625,2.24578857421875,1.89971923828125
1580532678,1.49322509765625,0.87249755859375,2.032470703125
1580532742,1.248779296875,2.54608154296875,2.66693115234375
1580532806,3.43231201171875,1.79534912109375,1.0601806640625
1580532870,1.87042236328125,0.93109130859375,1.62689208984375
1580532934,0.9503173828125,1.842041015625,2.67242431640625
1580532998,2.3712158203125,1.8511962890625,1.2872314453125
1580533062,2.14691162109375,1.08489990234375,1.24969482421875
1580533126,1.600341796875,1.0345458984375,1.84112548828125
1580533190,1.23870849609375,1.614990234375,2.259521484375
1580533254,2.3785400390625,2.138671875,1.14715576171875
1580533318,2.373046875,0.70404052734375,1.21307373046875
1580533382,0.8148193359375,1.16363525390625,3.2244873046875
1580533446,2.208251953125,2.58819580078125,1.14898681640625
1580533510,2.6788330078125,0.74249267578125,0.9027099609375
1580533574,0.77178955078125,1.0015869140625,3.01483154296875
1580533638,2.4810791015625,1.06658935546875,1.00067138671875
1580533702,1.22772216796875,1.1114501953125,2.373046875
1580533766,1.36138916015625,1.849365234375,1.96197509765625
1580533830,1.86492919921875,1.69464111328125,1.26983642578125
1580533894,2.30072021484375,0.82763671875,1.28631591796875
1580533958,0.4998779296875,1.131591796875,2.70355224609375
1580534022,2.0233154296875,2.578125,1.05743408203125
1580534086,2.54150390625,0.3460693359375,0.47332763671875
1580534150,0.52825927734375,0.99517822265625,3.18878173828125
1580534214,1.93817138671875,2.5048828125,0.46234130859375
1580534278,2.318115234375,0.70770263671875,0.69580078125
1580534342,0.252685546875,1.06292724609375,2.5140380859375
1580534406,0.04669189453125,2.00408935546875,1.39434814453125
1580534470,0.465087890625,0.6097412109375,0.0787353515625
1580534534,0.0,0.0,0.0
1580534598,0.0,0.0,0.0
1580534662,0.0,0.0,0.0
1580534854,0.0,0.0,0.0
1580534918,0.0,0.0,0.0
1580534982,0.0,0.0,0.0
1580535046,0.0,0.0,0.0
1580535110,0.0,0.0,0.0
1580535174,0.0,0.0,0.0
1580535238,0.0,0.0,0.0
1580535302,0.0,0.0,0.0
1580535366,0.0,0.0,0.0
1580535430,0.0,0.0,0.0
1580535494,0.0,0.0,0.0
1580535558,0.0,0.0,0.0
1580535622,0.0,0.0,0.0
1580535878,0.0,0.0,0.0
1580535942,0.0,0.0,0.0
1580536006,0.0,0.0,0.0
1580536070,0.0,0.0,0.0
1580536134,0.0,0.0,0.0
1580536198,0.0,0.0,0.0
1580536262,0.0,0.0,0.0
1580536326,0.0,0.0,0.0
1580536390,0.0,0.0,0.0
1580536454,0.0,0.0,0.0
1580536518,0.1190185546875,0.08880615234375,0.00091552734375
1580536582,0.72601318359375,0.626220703125,2.0599365234375
1580536646,1.893310546875,2.02606201171875,1.45660400390625
1580536710,2.23846435546875,0.74981689453125,0.0531005859375
1580536774,1.1517333984375,1.22039794921875,2.75665283203125
1580536838,1.3677978515625,2.42889404296875,1.13800048828125
