time,Status,Control,Last_Charge_Time
1580617703,0x0,0x0,0.0
1580617761,0x0,0x0,0.0
1580618178,0x0,0x0,0.0
1580618969,0x0,0x0,0.0
1580619027,0x0,0x0,0.0
1580619084,0x0,0x0,0.0
1580619142,0x0,0x0,0.0
1580619199,0x0,0x0,0.0
1580619257,0x0,0x0,0.0
1580619329,0x0,0x0,0.0
1580619386,0x0,0x0,0.0
1580619444,0x0,0x0,0.0
1580623585,0x0,0x0,0.0
1580623758,0x0,0x0,0.0
1580623887,0x0,0x0,0.0
1580623945,0x0,0x0,0.0
1580629884,0x0,0x0,0.0
1580629999,0x0,0x0,0.0
1580635651,0x0,0x0,0.0
1580635708,0x0,0x0,0.0
1580635881,0x0,0x0,0.0
1580636125,0x0,0x0,0.0
1580640440,0x0,0x0,0.0
1580640497,0x0,0x0,0.0
1580640569,0x0,0x0,0.0
1580640627,0x0,0x0,0.0
1580641518,0x0,0x0,0.0
1580641590,0x0,0x0,0.0
1580641648,0x0,0x0,0.0
1580641878,0x0,0x0,0.0
1580644768,0x0,0x0,0.0
1580645962,0x0,0x0,0.0
1580646077,0x0,0x0,0.0
1580646149,0x0,0x0,0.0
1580646264,0x0,0x0,0.0
1580646321,0x0,0x0,0.0
1580646379,0x0,0x0,0.0
1580646508,0x0,0x0,0.0
1580646566,0x0,0x0,0.0
1580646681,0x0,0x0,0.0
1580646739,0x0,0x0,0.0
1580647400,0x0,0x0,0.0
1580647458,0x0,0x0,0.0
1580647529,0x0,0x0,0.0
1580647587,0x0,0x0,0.0
1580647644,0x0,0x0,0.0
1580647702,0x0,0x0,0.0
1580647760,0x0,0x0,0.0
1580647817,0x0,0x0,0.0
1580650521,0x0,0x0,0.0
1580650578,0x0,0x0,0.0
1580650650,0x0,0x0,0.0
1580650708,0x0,0x0,0.0
1580650765,0x0,0x0,0.0
1580650823,0x0,0x0,0.0
1580651844,0x0,0x0,0.0
1580651901,0x0,0x0,0.0
1580651959,0x0,0x0,0.0
1580652031,0x0,0x0,0.0
1580652088,0x0,0x0,0.0
1580652146,0x0,0x0,0.0
1580652203,0x0,0x0,0.0
1580652261,0x0,0x0,0.0
1580652318,0x0,0x0,0.0
1580652390,0x0,0x0,0.0
1580653282,0x0,0x0,0.0
1580653339,0x0,0x0,0.0
1580653397,0x0,0x0,0.0
1580653469,0x0,0x0,0.0
1580653526,0x0,0x0,0.0
1580653584,0x0,0x0,0.0
1580657841,0x0,0x0,0.0
1580657970,0x0,0x0,0.0
1580658085,0x0,0x0,0.0
1580658143,0x0,0x0,0.0
1580658200,0x0,0x0,0.0
1580658258,0x0,0x0,0.0
1580658330,0x0,0x0,0.0
1580658387,0x0,0x0,0.0
1580658445,0x0,0x0,0.0
1580658502,0x0,0x0,0.0
1580659049,0x0,0x0,0.0
1580659106,0x0,0x0,0.0
1580659279,0x0,0x0,0.0
1580662831,0x0,0x0,0.0
1580662888,0x0,0x0,0.0
1580662946,0x0,0x0,0.0
1580663003,0x0,0x0,0.0
1580663607,0x0,0x0,0.0
1580663665,0x0,0x0,0.0
1580663722,0x0,0x0,0.0
1580663780,0x0,0x0,0.0
1580663837,0x0,0x0,0.0
