time,EPS_Voltage_Min,EPS_Voltage_Max,EPS_Voltage_Avg
1581192560,0.0,7.0200000000000005,6.76
1581192618,0.0,7.0200000000000005,6.772
1581192680,0.0,7.0200000000000005,6.82
1581192800,0.0,7.0200000000000005,6.828
1581192858,0.0,7.0200000000000005,6.78
1581192920,0.0,7.0200000000000005,6.784
1581210201,0.0,7.0200000000000005,6.78
1581210258,0.0,7.0200000000000005,6.752
1581210321,0.0,7.0200000000000005,6.744
1581210345,0.0,7.0200000000000005,6.748
1581210378,0.0,7.0200000000000005,6.8
1581210441,0.0,7.0200000000000005,6.796
1581210498,0.0,7.0200000000000005,6.816
1581210560,0.0,7.0200000000000005,6.816
1581210618,0.0,7.0200000000000005,6.792
1581210680,0.0,7.0200000000000005,6.784
1581210738,0.0,7.0200000000000005,6.788
1581288800,0.0,7.0200000000000005,6.776
1581457641,0.0,7.0200000000000005,6.772
1581457699,0.0,7.0200000000000005,6.828
1581536360,0.0,7.0200000000000005,6.756
1581536418,0.0,7.0200000000000005,6.76
1581536480,0.0,7.0200000000000005,6.828
1581536537,0.0,7.0200000000000005,6.904
1581536600,0.0,7.0200000000000005,6.972
1581536657,0.0,7.0200000000000005,6.988
1581536720,0.0,7.0200000000000005,7.0
1581536777,0.0,7.0200000000000005,6.896
1581536840,0.0,7.0200000000000005,6.816
1581626601,0.0,7.0200000000000005,6.744
1581626659,0.0,7.0200000000000005,6.72
1581626721,0.0,7.0200000000000005,6.752
1581626778,0.0,7.0200000000000005,6.768
1581626841,0.0,7.0200000000000005,6.804
1581626898,0.0,7.0200000000000005,6.808
1581626961,0.0,7.0200000000000005,6.848
1581627018,0.0,7.0200000000000005,6.856
1581627081,0.0,7.0200000000000005,6.784
1581627138,0.0,7.0200000000000005,6.768
1581627200,0.0,7.0200000000000005,6.792
1581627258,0.0,7.0200000000000005,6.796
1581627320,0.0,7.0200000000000005,6.776
1581627378,0.0,7.0200000000000005,6.764
1581627440,0.0,7.0200000000000005,6.844
1581789622,0.0,7.0200000000000005,6.856
1581789684,0.0,7.0200000000000005,6.892
1581789742,0.0,7.0200000000000005,6.816
1581789804,0.0,7.0200000000000005,6.768
1581789862,0.0,7.0200000000000005,6.764
1581789924,0.0,7.0200000000000005,6.772
1581789982,0.0,7.0200000000000005,6.768
1581790044,0.0,7.0200000000000005,6.86
1581790101,0.0,7.0200000000000005,6.96
1581790164,0.0,7.0200000000000005,7.0
1581891801,0.0,7.0200000000000005,6.788
1581891863,0.0,7.0200000000000005,6.808
1581891921,0.0,7.0200000000000005,6.86
1581891983,0.0,7.0200000000000005,6.896
1581892041,0.0,7.0200000000000005,6.952
1581892103,0.0,7.0200000000000005,6.896
1581892160,0.0,7.0200000000000005,6.812
1581892223,0.0,7.0200000000000005,6.76
1581892280,0.0,7.0200000000000005,6.784
1581892343,0.0,7.0200000000000005,6.832
1581892400,0.0,7.0200000000000005,6.828
1581892462,0.0,7.0200000000000005,6.836
1582223663,0.456,7.0200000000000005,6.74
1582223721,0.456,7.0200000000000005,6.704
1582223779,0.456,7.0200000000000005,6.684
1582223783,0.456,7.0200000000000005,6.684
1582223841,0.456,7.0200000000000005,6.668
1582223903,0.456,7.0200000000000005,6.672
1582223961,0.456,7.0200000000000005,6.7
1582224023,0.456,7.0200000000000005,6.728
1582224081,0.456,7.0200000000000005,6.736
1582224143,0.456,7.0200000000000005,6.728
1582224200,0.456,7.0200000000000005,6.736
1582224263,0.456,7.0200000000000005,6.748
1582224320,0.456,7.0200000000000005,6.752
1582224383,0.456,7.0200000000000005,6.76
1582224440,0.456,7.0200000000000005,6.772
1582224502,0.456,7.0200000000000005,6.812
1582229483,0.456,7.0280000000000005,6.988
1582229598,0.456,7.0280000000000005,6.912
1582229603,0.456,7.0280000000000005,6.908
1582229661,0.456,7.0280000000000005,6.868
1582229723,0.456,7.0280000000000005,6.848
1582229781,0.456,7.0280000000000005,6.896
1582229843,0.456,7.0280000000000005,6.908
1582229900,0.456,7.0280000000000005,6.832
1582229963,0.456,7.0280000000000005,6.856
1582230020,0.456,7.0280000000000005,6.88
1582230083,0.456,7.0280000000000005,6.888
1582230140,0.456,7.0280000000000005,6.888
1582230202,0.456,7.0280000000000005,6.832
1582230260,0.456,7.0280000000000005,6.792
1582230322,0.456,7.0280000000000005,6.796
1582235360,0.456,7.0280000000000005,6.864
1582235422,0.456,7.0280000000000005,6.876
1582235484,0.456,7.0280000000000005,6.784
1582235542,0.456,7.0280000000000005,6.744
