time,ESTIM_Voltage_Min,ESTIM_Voltage_Max,ESTIM_Voltage_Avg
1581192560,0.028,0.044,0.036000000000000004
1581192618,0.028,0.044,0.036000000000000004
1581192680,0.028,0.044,0.036000000000000004
1581192800,0.028,0.044,0.036000000000000004
1581192858,0.028,0.044,0.036000000000000004
1581192920,0.028,0.044,0.036000000000000004
1581210201,0.028,0.044,0.036000000000000004
1581210258,0.028,0.044,0.036000000000000004
1581210321,0.028,0.044,0.036000000000000004
1581210345,0.028,0.044,0.036000000000000004
1581210378,0.028,0.044,0.036000000000000004
1581210441,0.028,0.044,0.036000000000000004
1581210498,0.028,0.044,0.036000000000000004
1581210560,0.028,0.044,0.036000000000000004
1581210618,0.028,0.044,0.036000000000000004
1581210680,0.028,0.044,0.036000000000000004
1581210738,0.028,0.044,0.036000000000000004
1581288800,0.028,0.044,0.036000000000000004
1581457641,0.028,0.044,0.036000000000000004
1581457699,0.028,0.044,0.036000000000000004
1581536360,0.028,0.044,0.036000000000000004
1581536418,0.028,0.044,0.036000000000000004
1581536480,0.028,0.044,0.036000000000000004
1581536537,0.028,0.044,0.036000000000000004
1581536600,0.028,0.044,0.036000000000000004
1581536657,0.028,0.044,0.036000000000000004
1581536720,0.028,0.044,0.036000000000000004
1581536777,0.028,0.044,0.036000000000000004
1581536840,0.028,0.044,0.036000000000000004
1581626601,0.028,0.044,0.036000000000000004
1581626659,0.028,0.044,0.036000000000000004
1581626721,0.028,0.044,0.036000000000000004
1581626778,0.028,0.044,0.036000000000000004
1581626841,0.028,0.044,0.036000000000000004
1581626898,0.028,0.044,0.036000000000000004
1581626961,0.028,0.044,0.036000000000000004
1581627018,0.028,0.044,0.036000000000000004
1581627081,0.028,0.044,0.036000000000000004
1581627138,0.028,0.044,0.036000000000000004
1581627200,0.028,0.044,0.036000000000000004
1581627258,0.028,0.044,0.036000000000000004
1581627320,0.028,0.044,0.036000000000000004
1581627378,0.028,0.044,0.036000000000000004
1581627440,0.028,0.044,0.036000000000000004
1581789622,0.028,0.044,0.036000000000000004
1581789684,0.028,0.044,0.036000000000000004
1581789742,0.028,0.044,0.036000000000000004
1581789804,0.028,0.044,0.036000000000000004
1581789862,0.028,0.044,0.036000000000000004
1581789924,0.028,0.044,0.036000000000000004
1581789982,0.028,0.044,0.036000000000000004
1581790044,0.028,0.044,0.036000000000000004
1581790101,0.028,0.044,0.036000000000000004
1581790164,0.028,0.044,0.036000000000000004
1581891801,0.028,0.044,0.036000000000000004
1581891863,0.028,0.044,0.036000000000000004
1581891921,0.028,0.044,0.036000000000000004
1581891983,0.028,0.044,0.036000000000000004
1581892041,0.028,0.044,0.036000000000000004
1581892103,0.028,0.044,0.036000000000000004
1581892160,0.028,0.044,0.036000000000000004
1581892223,0.028,0.044,0.036000000000000004
1581892280,0.028,0.044,0.036000000000000004
1581892343,0.028,0.044,0.036000000000000004
1581892400,0.028,0.044,0.036000000000000004
1581892462,0.028,0.044,0.036000000000000004
1582223663,0.028,0.044,0.036000000000000004
1582223721,0.028,0.044,0.036000000000000004
1582223779,0.028,0.044,0.036000000000000004
1582223783,0.028,0.044,0.036000000000000004
1582223788,0.028,0.044,0.036000000000000004
1582223841,0.028,0.044,0.036000000000000004
1582223903,0.028,0.044,0.036000000000000004
1582223961,0.028,0.044,0.036000000000000004
1582224023,0.028,0.044,0.036000000000000004
1582224081,0.028,0.044,0.036000000000000004
1582224143,0.028,0.044,0.036000000000000004
1582224200,0.028,0.044,0.036000000000000004
1582224263,0.028,0.044,0.036000000000000004
1582224320,0.028,0.044,0.036000000000000004
1582224383,0.028,0.044,0.036000000000000004
1582224440,0.028,0.044,0.036000000000000004
1582224502,0.028,0.044,0.036000000000000004
1582229483,0.028,0.044,0.036000000000000004
1582229598,0.028,0.044,0.036000000000000004
1582229603,0.028,0.044,0.036000000000000004
1582229661,0.028,0.044,0.036000000000000004
1582229723,0.028,0.044,0.036000000000000004
1582229781,0.028,0.044,0.036000000000000004
1582229843,0.028,0.044,0.036000000000000004
1582229900,0.028,0.044,0.036000000000000004
1582229963,0.028,0.044,0.036000000000000004
1582230020,0.028,0.044,0.036000000000000004
1582230083,0.028,0.044,0.036000000000000004
1582230140,0.028,0.044,0.036000000000000004
1582230202,0.028,0.044,0.036000000000000004
1582230260,0.028,0.044,0.036000000000000004
1582230322,0.028,0.044,0.036000000000000004
1582235360,0.028,0.044,0.036000000000000004
1582235422,0.028,0.044,0.036000000000000004
1582235484,0.028,0.044,0.036000000000000004
1582235542,0.028,0.044,0.036000000000000004
1582235604,0.028,0.044,0.036000000000000004
1582235662,0.028,0.044,0.036000000000000004
1582235724,0.028,0.044,0.036000000000000004
1582235782,0.028,0.044,0.036000000000000004
1582235844,0.028,0.044,0.036000000000000004
1582235902,0.028,0.044,0.036000000000000004
1582235964,0.028,0.044,0.036000000000000004
1582236021,0.028,0.044,0.036000000000000004
1582236084,0.028,0.044,0.036000000000000004
1582308084,0.028,0.044,0.036000000000000004
1582308141,0.028,0.044,0.036000000000000004
1582308204,0.028,0.044,0.036000000000000004
1582308261,0.028,0.044,0.032
1582308324,0.028,0.044,0.036000000000000004
