time,Panel_3_Power_Min,Panel_3_Power_Max,Panel_3_Power_Avg,Panel_1_Temperature_Min
1581192560,-0.22247314453125,8.9337158203125,0.0,-18
1581192618,-0.22247314453125,8.9337158203125,0.0,-18
1581192680,-0.22247314453125,8.9337158203125,0.0,-18
1581192800,-0.22247314453125,8.9337158203125,0.0,-18
1581192858,-0.22247314453125,8.9337158203125,0.0,-18
1581192920,-0.22247314453125,8.9337158203125,0.0,-18
1581210201,-0.22247314453125,8.9337158203125,0.0,-18
1581210258,-0.22247314453125,8.9337158203125,0.0,-18
1581210321,-0.22247314453125,8.9337158203125,0.0,-18
1581210345,-0.22247314453125,8.9337158203125,0.0,-18
1581210378,-0.22247314453125,8.9337158203125,0.0,-18
1581210441,-0.22247314453125,8.9337158203125,0.0,-18
1581210498,-0.22247314453125,8.9337158203125,0.0,-18
1581210560,-0.22247314453125,8.9337158203125,0.0,-18
1581210618,-0.22247314453125,8.9337158203125,0.0,-18
1581210680,-0.22247314453125,8.9337158203125,0.0,-18
1581210738,-0.22247314453125,8.9337158203125,0.0,-18
1581288800,-0.22247314453125,8.9337158203125,0.0,-18
1581457641,-0.22247314453125,8.9337158203125,0.0,-18
1581457699,-0.22247314453125,8.9337158203125,0.0,-18
1581536360,-0.22247314453125,8.9337158203125,0.0,-18
1581536418,-0.22247314453125,8.9337158203125,0.0,-18
1581536480,-0.22247314453125,8.9337158203125,0.0,-18
1581536537,-0.22247314453125,8.9337158203125,0.0,-18
1581536600,-0.22247314453125,8.9337158203125,0.0,-18
1581536657,-0.22247314453125,8.9337158203125,0.0,-18
1581536720,-0.22247314453125,8.9337158203125,0.0,-18
1581536777,-0.22247314453125,8.9337158203125,0.0,-18
1581536840,-0.22247314453125,8.9337158203125,0.0,-18
1581626601,-0.22247314453125,8.9337158203125,0.0,-18
1581626659,-0.22247314453125,8.9337158203125,0.0,-18
1581626721,-0.22247314453125,8.9337158203125,0.0,-18
1581626778,-0.22247314453125,8.9337158203125,0.0,-18
1581626841,-0.22247314453125,8.9337158203125,0.0,-18
1581626898,-0.22247314453125,8.9337158203125,0.0,-18
