time,Velocity_Z
1587759803,7193.319593273891
1587759866,7059.195628763666
1587759918,6907.107264530191
1587759981,6716.368149811497
1587760043,6501.31375548973
1587760101,6259.9395552843125
1587760163,5988.591408090146
1587760225,5697.284443959647
1587760283,5377.553907249554
1587760340,5058.507713581109
