time,Omega_Z
1587759798,-0.030466903001070023
1587759856,-0.02054034359753132
1587759918,-0.011301007121801376
1587759981,-0.01313360221683979
1587760033,-0.018555032089352608
1587760096,-0.02015855349600315
1587760158,-0.02122756652534008
1587760216,-0.02932153083384037
1587760273,-0.03497203439474106
1587760336,-0.022449297830462456
