time,SPAM_Off_Z_MTQ_X,SPAM_OFF_Z_MTQ_Y,SPAM_OFF_Z_MTQ_Z,Dipole_Gain_Y,Dipole_Gain_Z
1584763119,0.0,0.0,0.0,1.0,1.0
1584763182,0.0,0.0,0.0,1.0,1.0
1584763239,0.0,0.0,0.0,1.0,1.0
1584763302,0.0,0.0,0.0,1.0,1.0
1584763359,0.0,0.0,0.0,1.0,1.0
1584763421,0.0,0.0,0.0,1.0,1.0
1584763479,0.0,0.0,0.0,1.0,1.0
1584763541,0.0,0.0,0.0,1.0,1.0
1584763599,0.0,0.0,0.0,1.0,1.0
1584763661,0.0,0.0,0.0,1.0,1.0
1584763719,0.0,0.0,0.0,1.0,1.0
1584763852,0.0,0.0,0.0,1.0,1.0
1584763909,0.0,0.0,0.0,1.0,1.0
1584767030,0.0,0.0,0.0,1.0,1.0
1584767087,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584767159,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584767217,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584767274,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584767332,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584768942,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584768999,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584769061,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584769119,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584769181,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584769239,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584769301,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584769359,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584769421,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584769541,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584769661,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584769718,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584769798,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584769856,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584769913,-5.493150684931507,-6.917808219178082,-1.8356164383561644,1.0,1.0
1584772790,0.6712328767123288,-4.041095890410959,-0.1232876712328767,1.0,1.0
1584772977,0.6712328767123288,-4.041095890410959,-0.1232876712328767,1.0,1.0
1584774717,0.6712328767123288,-4.041095890410959,-0.1232876712328767,1.0,1.0
1584774774,0.6712328767123288,-4.041095890410959,-0.1232876712328767,1.0,1.0
1584774832,0.6712328767123288,-4.041095890410959,-0.1232876712328767,1.0,1.0
1584774889,0.6712328767123288,-4.041095890410959,-0.1232876712328767,1.0,1.0
1584774961,0.6712328767123288,-4.041095890410959,-0.1232876712328767,1.0,1.0
1584775019,0.6712328767123288,-4.041095890410959,-0.1232876712328767,1.0,1.0
1584775076,0.6712328767123288,-4.041095890410959,-0.1232876712328767,1.0,1.0
1584775134,0.6712328767123288,-4.041095890410959,-0.1232876712328767,1.0,1.0
1584775191,0.6712328767123288,-4.041095890410959,-0.1232876712328767,1.0,1.0
1584775249,0.6712328767123288,-4.041095890410959,-0.1232876712328767,1.0,1.0
1584775321,0.6712328767123288,-4.041095890410959,-0.1232876712328767,1.0,1.0
1584775378,6.287671232876712,-8.32876712328767,5.178082191780822,1.0,1.0
1584775436,6.287671232876712,-8.32876712328767,5.178082191780822,1.0,1.0
1584775493,6.287671232876712,-8.32876712328767,5.178082191780822,1.0,1.0
1584775551,6.287671232876712,-8.32876712328767,5.178082191780822,1.0,1.0
1584775608,6.287671232876712,-8.32876712328767,5.178082191780822,1.0,1.0
1584775738,6.287671232876712,-8.32876712328767,5.178082191780822,1.0,1.0
1584779578,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584779635,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584779750,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584779808,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584779880,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584780541,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584780599,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584780656,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584780714,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584780771,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584780829,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584780901,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584780958,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584781016,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584781073,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584781131,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584781188,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584781260,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584781318,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584781375,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584781433,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584781490,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584785343,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584785401,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584785458,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584785530,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584785703,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584786609,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584786666,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584786724,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584786781,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584786839,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584786896,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584786968,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584787083,-4.095890410958904,-6.383561643835616,2.6301369863013697,1.0,1.0
1584791340,-0.6712328767123288,-6.904109589041096,4.657534246575342,1.0,1.0
1584791398,-0.6712328767123288,-6.904109589041096,4.657534246575342,1.0,1.0
1584791470,-0.6712328767123288,-6.904109589041096,4.657534246575342,1.0,1.0
