time,X1,Y1,G1,G2,G3,G4,G5,G6,G7,G8,G9,GA,Checksum
1581457900,28,18,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xad
1581457905,32,22,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xed
1581457910,36,46,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x56
1581457915,40,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x96
1581457919,45,10,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x8c
1581457924,49,14,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xcc
1581457929,53,28,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x21
1581457934,57,42,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x75
1581457939,61,46,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xb5
1581457943,66,16,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xbf
1581457948,70,20,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
1581457953,74,44,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x79
1581457958,78,48,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xc,0xd,0xd,0x31
1581457962,82,52,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xd7
1581457967,87,12,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xcd
1581457972,91,16,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x8,0x7,0x7,0xeb
1581457977,95,30,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x95
1581457982,2,32,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0x4b
1581457986,6,56,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xe,0xb3
1581457991,10,60,0x7,0x7,0x6,0x6,0x8,0x8,0x8,0x8,0x8,0x8,0xc0
1581457996,15,0,0x5,0x5,0x5,0x5,0x5,0x5,0x5,0x5,0x5,0x5,0x28
1581458001,19,14,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x6b
1581458006,23,18,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x9a
1581458010,27,42,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0xf1
1581458015,31,46,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x21
1581458020,36,6,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x17
1581458025,40,10,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x57
1581458030,44,24,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0xab
1581458034,48,48,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3
1581458039,52,52,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x43
1581458044,57,12,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x39
1581458049,61,16,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x79
1581458054,65,30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xcd
1581458058,69,54,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x36
1581458063,73,58,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x76
1581458068,78,18,0x3,0x3,0x3,0x3,0x3,0x4,0x4,0x4,0x4,0x4,0x9a
1581458073,82,22,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x24
1581458078,86,46,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x7,0x8c
1581458082,90,50,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x99
1581458087,95,10,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x5c
1581458092,2,22,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x6a
1581458097,6,26,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x99
1581458101,10,60,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x16
1581458106,15,0,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0xe3
1581458111,19,24,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x3b
1581458116,23,28,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x7b
1581458121,27,32,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xbb
1581458125,31,56,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x2,0x2,0x9b
1581458130,35,60,0x1,0x1,0x1,0x1,0x2,0x2,0x2,0x2,0x2,0x2,0x42
1581458135,40,20,0x2,0x2,0x2,0x1,0x1,0x1,0x1,0x1,0x1,0x1,0xe3
1581458140,44,24,0x2,0x2,0x2,0x2,0x2,0x1,0x1,0x1,0x1,0x1,0xc1
1581458145,48,48,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x25
1581458149,52,52,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x65
1581458154,56,56,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x2,0x3,0x3,0x61
1581458159,61,26,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0xd1
1581458164,65,30,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x4,0x12
1581458169,69,54,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x69
1581458173,73,58,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0x3,0xa9
