time,Panel_3_Voltage_Avg,Panel_1_Current_Min,Panel_1_Current_Max,Panel_1_Current_Avg
1581192560,13.844,-0.105560302734375,1.461639404296875,0.0048980712890625
1581192618,13.384,-0.105560302734375,1.461639404296875,0.125701904296875
1581192680,14.176,-0.105560302734375,1.461639404296875,0.25982666015625
1581192800,15.348,-0.105560302734375,1.461639404296875,0.004302978515625
1581192858,14.976,-0.105560302734375,1.461639404296875,0.00457763671875
1581192920,15.028,-0.105560302734375,1.461639404296875,0.004302978515625
1581210201,4.628,-0.11553955078125,1.461639404296875,0.3561859130859375
1581210258,11.568,-0.11553955078125,1.461639404296875,0.0542449951171875
1581210321,14.744,-0.11553955078125,1.461639404296875,0.0394134521484375
1581210345,13.976,-0.11553955078125,1.461639404296875,0.0029754638671875
1581210378,14.256,-0.11553955078125,1.461639404296875,0.0037078857421875
1581210441,8.94,-0.11553955078125,1.461639404296875,0.180908203125
1581210498,11.656,-0.11553955078125,1.461639404296875,0.09356689453125
1581210560,13.496,-0.11553955078125,1.461639404296875,0.0679779052734375
1581210618,12.044,-0.11553955078125,1.461639404296875,0.0220184326171875
1581210680,7.352,-0.11553955078125,1.461639404296875,0.1299591064453125
1581210738,7.936,-0.11553955078125,1.461639404296875,0.1256103515625
1581288800,11.356,-0.11553955078125,1.461639404296875,0.0045318603515625
1581457641,13.268,-0.11553955078125,1.461639404296875,0.2193603515625
1581457699,14.008000000000001,-0.11553955078125,1.461639404296875,0.0046234130859375
1581536360,14.256,-0.11553955078125,1.461639404296875,0.045501708984375
1581536418,14.200000000000001,-0.11553955078125,1.461639404296875,0.023712158203125
1581536480,14.344,-0.11553955078125,1.461639404296875,0.298095703125
1581536537,13.952,-0.11553955078125,1.461639404296875,0.293975830078125
1581536600,14.448,-0.11553955078125,1.461639404296875,0.0047149658203125
1581536657,14.988,-0.11553955078125,1.461639404296875,0.0048065185546875
1581536720,15.540000000000001,-0.11553955078125,1.461639404296875,0.0044403076171875
1581536777,15.668000000000001,-0.11553955078125,1.461639404296875,0.0043487548828125
1581536840,15.384,-0.11553955078125,1.461639404296875,0.0044403076171875
1581626601,14.104000000000001,-0.11553955078125,1.461639404296875,0.1804046630859375
1581626659,14.104000000000001,-0.11553955078125,1.461639404296875,0.0059967041015625
1581626721,14.308,-0.11553955078125,1.461639404296875,0.0198211669921875
1581626778,14.192,-0.11553955078125,1.461639404296875,0.04046630859375
1581626841,13.188,-0.11553955078125,1.461639404296875,0.3493194580078125
1581626898,9.312,-0.11553955078125,1.461639404296875,0.0455474853515625
1581626961,14.332,-0.11553955078125,1.461639404296875,0.00439453125
1581627018,14.928,-0.11553955078125,1.461639404296875,0.0043487548828125
1581627081,14.84,-0.11553955078125,1.461639404296875,0.0047607421875
1581627138,14.844000000000001,-0.11553955078125,1.461639404296875,0.004669189453125
1581627200,14.248000000000001,-0.11553955078125,1.461639404296875,0.004486083984375
1581627258,14.056000000000001,-0.11553955078125,1.461639404296875,0.00457763671875
1581627320,13.94,-0.11553955078125,1.461639404296875,0.0048980712890625
1581627378,14.104000000000001,-0.11553955078125,1.461639404296875,0.041107177734375
1581627440,14.24,-0.11553955078125,1.461639404296875,0.00347900390625
1581789622,14.772,-1.491119384765625,1.461639404296875,0.00494384765625
1581789684,15.596,-1.491119384765625,1.461639404296875,0.0042572021484375
1581789742,15.112,-1.491119384765625,1.461639404296875,0.0044403076171875
1581789804,13.696,-1.491119384765625,1.461639404296875,0.00494384765625
1581789862,13.596,-1.491119384765625,1.461639404296875,0.00457763671875
1581789924,14.46,-1.491119384765625,1.461639404296875,0.0044403076171875
1581789982,9.964,-1.491119384765625,1.461639404296875,0.1900634765625
1581790044,14.184000000000001,-1.491119384765625,1.461639404296875,0.3812255859375
1581790101,15.312000000000001,-1.491119384765625,1.461639404296875,0.0051727294921875
1581790164,14.316,-1.491119384765625,1.461639404296875,0.0048065185546875
1581891801,13.888,-1.491119384765625,1.466033935546875,0.00494384765625
1581891863,13.508000000000001,-1.491119384765625,1.466033935546875,0.0048065185546875
1581891921,15.064,-1.491119384765625,1.466033935546875,0.0046234130859375
1581891983,14.16,-1.491119384765625,1.466033935546875,0.004852294921875
1581892041,14.984,-1.491119384765625,1.466033935546875,0.00439453125
1581892103,15.324,-1.491119384765625,1.466033935546875,0.0046234130859375
1581892160,13.512,-1.491119384765625,1.466033935546875,0.0047149658203125
1581892223,13.08,-1.491119384765625,1.466033935546875,0.0048980712890625
1581892280,5.064,-1.491119384765625,1.466033935546875,0.004669189453125
1581892343,8.552,-1.491119384765625,1.466033935546875,0.0046234130859375
1581892400,13.88,-1.491119384765625,1.466033935546875,0.0048065185546875
1581892462,14.832,-1.491119384765625,1.466033935546875,0.0044403076171875
1582223663,14.304,-0.11700439453125,1.339324951171875,0.0100250244140625
1582223721,14.232000000000001,-0.11700439453125,1.339324951171875,0.04779052734375
1582223779,14.22,-0.11700439453125,1.339324951171875,0.0186767578125
1582223783,14.212,-0.11700439453125,1.339324951171875,0.0154266357421875
1582223841,14.1,-0.11700439453125,1.339324951171875,0.0102996826171875
1582223903,14.088000000000001,-0.11700439453125,1.339324951171875,0.1651153564453125
1582223961,13.496,-0.11700439453125,1.339324951171875,0.0982818603515625
1582224023,12.36,-0.11700439453125,1.339324951171875,0.1160888671875
1582224081,14.08,-0.11700439453125,1.339324951171875,0.42755126953125
1582224143,14.128,-0.11700439453125,1.339324951171875,0.4452667236328125
1582224200,14.08,-0.11700439453125,1.339324951171875,0.222930908203125
