time,Battery_Voltage_Avg,COM1_Current_Avg,Temperature_Avg
1580512006,6.899828753662109,0.03173828125,11.93
1580512070,6.813492796325684,0.09619140625,14.91
1580512134,6.788825379943847,0.13671875,14.87
1580512198,6.77649167175293,0.087890625,14.82
1580512262,6.760634046936035,0.13818359375,14.78
1580512326,6.750062297058105,0.0966796875,14.66
1580512390,6.739490547180176,0.13525390625,14.52
1580512454,6.730680755615234,0.0966796875,14.4
1580512518,6.720109005737305,0.083984375,14.08
1580512582,6.721870964050293,0.0517578125,13.93
1580512646,6.713061172485351,0.09765625,13.74
1580512710,6.71482313079834,0.05126953125,13.51
1580512774,6.706013339233398,0.0966796875,13.28
1580513030,6.697203547668457,0.09716796875,12.31
1580513094,6.6989655059814455,0.05126953125,12.11
1580513350,6.688393756103515,0.091796875,10.96
1580513414,6.691917672729492,0.05126953125,10.71
1580513478,6.688393756103515,0.05126953125,10.11
1580513542,6.684869839477539,0.0986328125,9.83
1580513606,6.686631797790527,0.05126953125,9.56
1580513670,6.683107881164551,0.10009765625,9.26
1580513734,6.684869839477539,0.05126953125,8.96
1580513798,6.681345922851563,0.0986328125,8.71
1580513862,6.684869839477539,0.05126953125,8.35
1580513926,6.683107881164551,0.09716796875,8.1
1580513990,6.681345922851563,0.0537109375,7.76
1580514054,6.6989655059814455,0.05419921875,7.5
1580514118,6.734204672241211,0.130859375,7.46
1580514182,6.765919921875,0.0751953125,7.33
1580514246,6.758872088623047,0.11572265625,7.38
1580514310,6.780015588378906,0.0869140625,7.47
1580514374,6.8117308380126955,0.11328125,7.49
1580514438,6.813492796325684,0.0517578125,7.56
1580514502,6.832874337768555,0.05126953125,7.89
1580514566,6.836398254394531,0.10107421875,7.92
1580514630,6.831112379455567,0.06396484375,8.03
1580514694,6.852255879211426,0.0986328125,8.12
1580514758,6.8769232955932615,0.0634765625,8.1
1580514822,6.861065670776367,0.05908203125,8.2
1580514886,6.88925700378418,0.11279296875,8.28
1580514950,6.928020086669922,0.05517578125,8.3
1580515014,6.920972253417968,0.10986328125,8.45
1580515078,6.899828753662109,0.0517578125,8.67
1580515142,6.906876586914063,0.10693359375,8.72
1580515206,6.901590711975097,0.056640625,8.82
1580515270,6.887495045471192,0.11279296875,9.09
1580515334,6.931544003295898,0.0703125,9.18
1580515398,6.9051146286010745,0.07373046875,9.42
1580515462,6.88925700378418,0.0859375,9.56
1580515526,6.891018962097168,0.0830078125,9.75
1580515590,6.88925700378418,0.056640625,10.09
1580515654,6.910400503540039,0.099609375,10.24
1580515718,6.906876586914063,0.05517578125,10.39
1580515782,6.903352670288085,0.11181640625,10.68
1580515846,6.891018962097168,0.0634765625,10.89
1580515910,6.910400503540039,0.12158203125,11.13
1580515974,6.908638545227051,0.0849609375,11.33
1580516038,6.947401628112793,0.13037109375,11.61
1580516102,6.896304837036133,0.07470703125,11.85
1580516166,6.87868525390625,0.09423828125,12.15
1580516230,6.910400503540039,0.072265625,12.39
1580516294,6.885733087158203,0.056640625,12.56
1580516358,6.924496170043946,0.05126953125,13.11
1580516422,6.917448336791992,0.11474609375,13.28
1580516486,6.896304837036133,0.05126953125,13.49
1580516550,6.892780920410156,0.11376953125,13.85
1580516614,6.88925700378418,0.07275390625,14.02
1580516678,6.883971128845214,0.09033203125,14.24
1580516742,6.891018962097168,0.080078125,14.52
1580516806,6.891018962097168,0.06494140625,14.7
1580516870,6.871637420654297,0.13623046875,14.91
1580516934,6.871637420654297,0.08203125,15.26
1580516998,6.901590711975097,0.2421875,15.38
1580517062,6.815254754638672,0.33837890625,15.54
1580517126,6.8205406295776365,0.3359375,15.9
1580517190,6.815254754638672,0.33642578125,16.18
1580517254,6.802921046447754,0.3330078125,16.31
1580517318,6.822302587890625,0.3271484375,16.58
1580517382,6.834636296081543,0.32666015625,17.16
1580517446,6.831112379455567,0.3251953125,17.43
1580517510,6.809968879699707,0.32373046875,17.7
1580517574,6.743014463806152,0.3251953125,17.85
1580517638,6.711299214172363,0.32421875,17.84
1580517702,6.690155714416504,0.32421875,17.81
1580517766,6.676060047912598,0.32421875,17.7
1580517830,6.667250256347656,0.32421875,17.57
1580517894,6.6619643814086915,0.32275390625,17.49
1580517958,6.656678506469726,0.32177734375,17.35
1580518022,6.65315458984375,0.31982421875,17.25
1580518086,6.651392631530761,0.318359375,17.02
1580518150,6.651392631530761,0.31689453125,16.84
1580518214,6.649630673217773,0.3154296875,16.62
1580518278,6.647868714904785,0.314453125,16.22
1580518342,6.647868714904785,0.31396484375,16.0
1580518406,6.646106756591797,0.31396484375,15.78
1580518470,6.646106756591797,0.3134765625,15.52
1580518534,6.646106756591797,0.31396484375,15.29
1580518598,6.644344798278809,0.31396484375,15.11
1580518662,6.644344798278809,0.3134765625,14.79
1580518726,6.644344798278809,0.3134765625,14.59
1580518790,6.64258283996582,0.3134765625,14.34
1580518854,6.64258283996582,0.3134765625,14.16
1580518918,6.64258283996582,0.3125,13.85
1580518982,6.640820881652832,0.3134765625,13.61
1580519046,6.640820881652832,0.3134765625,13.31
1580519110,6.640820881652832,0.3134765625,13.14
1580519174,6.639058923339844,0.31298828125,12.87
1580519238,6.639058923339844,0.3134765625,12.35
1580519302,6.637296965026855,0.3134765625,12.1
1580519366,6.637296965026855,0.31396484375,11.85
1580519430,6.637296965026855,0.31396484375,11.58
1580519494,6.637296965026855,0.3134765625,11.28
1580519558,6.635535006713867,0.31396484375,11.09
1580519622,6.635535006713867,0.3134765625,10.77
1580519686,6.672536131286621,0.31982421875,10.55
1580519750,6.700727464294434,0.31396484375,10.5
