time,Node_Voltage_Min,Node_Voltage_Max,Node_Voltage_Avg
1580528787,3.392,3.4,3.396
1580528844,3.368,3.4,3.38
1580528902,3.352,3.4,3.36
1580528959,3.344,3.4,3.348
1580529031,3.336,3.4,3.34
1580529089,3.332,3.4,3.332
1580529146,3.3240000000000003,3.4,3.3280000000000003
1580529391,3.3200000000000003,3.4,3.3240000000000003
1580529448,3.3200000000000003,3.4,3.3200000000000003
1580529506,3.3200000000000003,3.4,3.3200000000000003
1580534611,3.3080000000000003,3.432,3.348
1580534668,3.3080000000000003,3.432,3.34
1580534726,3.3080000000000003,3.432,3.332
1580534783,3.3080000000000003,3.432,3.3280000000000003
1580534841,3.3080000000000003,3.432,3.3280000000000003
1580534898,3.3080000000000003,3.432,3.3240000000000003
1580539457,3.3080000000000003,3.432,3.392
1580539587,3.3080000000000003,3.432,3.412
1580544390,3.3080000000000003,3.456,3.408
1580544505,3.3080000000000003,3.456,3.396
1580544677,3.3080000000000003,3.456,3.408
1580555909,3.3080000000000003,3.464,3.368
1580555966,3.3080000000000003,3.464,3.36
1580556024,3.3080000000000003,3.464,3.368
1580557045,3.3080000000000003,3.464,3.364
1580557103,3.3080000000000003,3.464,3.352
1580557160,3.3080000000000003,3.464,3.344
1580557218,3.3080000000000003,3.464,3.336
1580557289,3.3080000000000003,3.464,3.332
1580557347,3.3080000000000003,3.464,3.332
1580557405,3.3080000000000003,3.464,3.3280000000000003
1580557462,3.3080000000000003,3.464,3.3280000000000003
1580557520,3.3080000000000003,3.464,3.3240000000000003
1580557577,3.3080000000000003,3.464,3.3240000000000003
1580560338,3.3080000000000003,3.464,3.36
1580561719,3.3080000000000003,3.464,3.408
1580561791,3.3080000000000003,3.464,3.404
1580561848,3.3080000000000003,3.464,3.396
1580561906,3.3080000000000003,3.464,3.392
1580562150,3.3080000000000003,3.464,3.4
1580562265,3.3080000000000003,3.464,3.404
1580562984,3.3080000000000003,3.464,3.332
1580563042,3.3080000000000003,3.464,3.3280000000000003
1580563099,3.3080000000000003,3.464,3.3280000000000003
1580563157,3.3080000000000003,3.464,3.3280000000000003
1580563229,3.3080000000000003,3.464,3.3240000000000003
1580563286,3.3080000000000003,3.464,3.3240000000000003
1580563344,3.3080000000000003,3.464,3.3240000000000003
1580563401,3.3080000000000003,3.464,3.3240000000000003
1580567370,3.3080000000000003,3.464,3.4
1580567428,3.3080000000000003,3.464,3.408
1580567486,3.3080000000000003,3.464,3.396
1580567601,3.3080000000000003,3.464,3.4
1580567658,3.3080000000000003,3.464,3.408
1580567730,3.3080000000000003,3.464,3.396
1580567788,3.3080000000000003,3.464,3.388
1580567845,3.3080000000000003,3.464,3.384
1580568018,3.3080000000000003,3.464,3.404
1580568147,3.3080000000000003,3.464,3.424
1580569039,3.3080000000000003,3.464,3.3240000000000003
1580569168,3.3080000000000003,3.464,3.3200000000000003
1580569226,3.3080000000000003,3.464,3.3200000000000003
1580573180,3.3080000000000003,3.464,3.4
1580573367,3.3080000000000003,3.464,3.392
1580573482,3.3080000000000003,3.464,3.408
1580573540,3.3080000000000003,3.464,3.396
1580573597,3.3080000000000003,3.464,3.392
1580573669,3.3080000000000003,3.464,3.404
1580573957,3.3080000000000003,3.464,3.36
1580574029,3.3080000000000003,3.464,3.348
1580574388,3.3080000000000003,3.464,3.3240000000000003
1580574446,3.3080000000000003,3.464,3.3240000000000003
1580574503,3.3080000000000003,3.464,3.3240000000000003
1580578170,3.3080000000000003,3.464,3.4
1580578286,3.3080000000000003,3.464,3.4
1580578343,3.3080000000000003,3.464,3.392
1580578401,3.3080000000000003,3.464,3.396
1580578458,3.3080000000000003,3.464,3.408
1580578530,3.3080000000000003,3.464,3.396
1580578588,3.3080000000000003,3.464,3.388
1580578703,3.3080000000000003,3.464,3.392
1580579364,3.3080000000000003,3.464,3.428
1580579422,3.3080000000000003,3.464,3.428
1580579479,3.3080000000000003,3.464,3.436
1580579537,3.3080000000000003,3.464,3.396
1580579666,3.3080000000000003,3.464,3.356
1580579781,3.3080000000000003,3.464,3.34
1580579839,3.3080000000000003,3.464,3.336
1580579911,3.3080000000000003,3.464,3.332
1580580198,3.3080000000000003,3.464,3.3240000000000003
1580580270,3.3080000000000003,3.464,3.3240000000000003
1580580385,3.3080000000000003,3.464,3.3240000000000003
1580584038,3.3080000000000003,3.464,3.388
1580584110,3.3080000000000003,3.464,3.404
1580584167,3.3080000000000003,3.464,3.4
1580584225,3.3080000000000003,3.464,3.416
1580584282,3.3080000000000003,3.464,3.396
1580584397,3.3080000000000003,3.464,3.388
1580584469,3.3080000000000003,3.464,3.4
1580584584,3.3080000000000003,3.464,3.4
1580585131,3.3080000000000003,3.464,3.428
1580585246,3.3080000000000003,3.464,3.38
1580585303,3.3080000000000003,3.464,3.364
1580585361,3.3080000000000003,3.464,3.352
1580585418,3.3080000000000003,3.464,3.344
1580585490,3.3080000000000003,3.464,3.34
1580585548,3.3080000000000003,3.464,3.332
1580585605,3.3080000000000003,3.464,3.332
1580585663,3.3080000000000003,3.464,3.3280000000000003
1580585778,3.3080000000000003,3.464,3.3280000000000003
1580588122,3.3080000000000003,3.464,3.356
1580589747,3.3080000000000003,3.464,3.372
1580589862,3.3080000000000003,3.464,3.368
1580589977,3.3080000000000003,3.464,3.38
1580590049,3.3080000000000003,3.464,3.388
1580590107,3.3080000000000003,3.464,3.388
1580590164,3.3080000000000003,3.464,3.384
1580590409,3.3080000000000003,3.464,3.388
1580590466,3.3080000000000003,3.464,3.404
1580590768,3.3080000000000003,3.464,3.408
1580590826,3.3080000000000003,3.464,3.384
1580590941,3.3080000000000003,3.464,3.352
1580590998,3.3080000000000003,3.464,3.344
1580591070,3.3080000000000003,3.464,3.34
1580593817,3.3080000000000003,3.464,3.356
1580594004,3.3080000000000003,3.464,3.36
1580595327,3.3080000000000003,3.464,3.364
1580595384,3.3080000000000003,3.464,3.376
