time,Sun_Beta_Min,Sun_Beta_Max,Sun_Beta_Avg,Sun_Valid
1587759794,29.382000183111057,42.139347514267406,36.62038026062807,254
1587759856,1.9940794091616565,29.35453352458266,20.618305001983703,135
1587759914,-5.077669606616412,11.73558763389996,2.7448347422711876,254
1587759976,-10.483108005005036,-5.130771813104648,-8.941312906277657,255
1587760033,-10.087588122196111,2.166203802606281,-5.335856196783349,255
1587760096,2.2028260139774773,23.350321970274972,12.989898373363445,255
1587760153,23.37961973937193,35.486922818689536,30.98055970946379,255
1587760216,1.9940794091616565,35.582140568254644,31.722159489730522,50
1587760273,-0.5786309396649068,23.07016205328532,11.039765617847225,70
1587760336,-39.26816614276559,-0.6152531510361035,-15.972777489547411,190
