time,Position_X
1587759803,-5970860.818572426
1587759866,-5827199.064629527
1587759918,-5670913.7592843585
1587759981,-5480734.712918908
1587760043,-5271308.855594548
1587760163,-4785071.48811675
1587760225,-4514257.916506346
1587760283,-4220231.7503842125
1587760340,-3929530.8329314105
